defect_type_0edge_1node,f,epsilon,m_psi,mean_k
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.004233333333333533e+01
0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000083e-02,1.000000000000000000e+00,2.004233333333333533e+01
0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000167e-02,1.000000000000000000e+00,2.004233333333333533e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.199999999999999956e-01,1.000000000000000000e+00,2.004233333333333533e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000033e-01,1.000000000000000000e+00,2.004233333333333533e+01
0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000111e-01,1.000000000000000000e+00,2.004233333333333533e+01
0.000000000000000000e+00,0.000000000000000000e+00,2.399999999999999911e-01,1.000000000000000000e+00,2.004233333333333533e+01
0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000266e-01,9.999993333333332401e-01,2.004233333333333533e+01
0.000000000000000000e+00,0.000000000000000000e+00,3.200000000000000067e-01,9.999986666666665913e-01,2.004233333333333533e+01
0.000000000000000000e+00,0.000000000000000000e+00,3.599999999999999867e-01,9.999964999999999549e-01,2.004233333333333533e+01
0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000222e-01,9.999946666666668094e-01,2.004233333333333533e+01
0.000000000000000000e+00,0.000000000000000000e+00,4.400000000000000022e-01,9.999924999999999509e-01,2.004233333333333533e+01
0.000000000000000000e+00,0.000000000000000000e+00,4.799999999999999822e-01,9.999838333333334051e-01,2.004233333333333533e+01
0.000000000000000000e+00,0.000000000000000000e+00,5.200000000000000178e-01,9.999715000000000131e-01,2.004233333333333533e+01
0.000000000000000000e+00,0.000000000000000000e+00,5.600000000000000533e-01,9.999369999999999647e-01,2.004233333333333533e+01
0.000000000000000000e+00,0.000000000000000000e+00,5.999999999999999778e-01,7.855406666666667759e-01,2.004233333333333533e+01
0.000000000000000000e+00,0.000000000000000000e+00,6.400000000000000133e-01,6.424933333333333017e-03,2.004233333333333533e+01
0.000000000000000000e+00,0.000000000000000000e+00,6.800000000000000488e-01,2.748201666666666779e-03,2.004233333333333533e+01
0.000000000000000000e+00,0.000000000000000000e+00,7.199999999999999734e-01,2.284501666666666729e-03,2.004233333333333533e+01
0.000000000000000000e+00,0.000000000000000000e+00,7.600000000000000089e-01,2.754313333333333145e-03,2.004233333333333533e+01
0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01,2.567766666666666722e-03,2.004233333333333533e+01
0.000000000000000000e+00,0.000000000000000000e+00,8.399999999999999689e-01,1.819464833333333349e-03,2.004233333333333533e+01
0.000000000000000000e+00,0.000000000000000000e+00,8.800000000000000044e-01,1.508400666666666551e-03,2.004233333333333533e+01
0.000000000000000000e+00,0.000000000000000000e+00,9.200000000000000400e-01,1.526835666666666791e-03,2.004233333333333533e+01
0.000000000000000000e+00,0.000000000000000000e+00,9.599999999999999645e-01,9.079113333333334443e-04,2.004233333333333533e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.459293500000000132e-03,2.004233333333333533e+01
0.000000000000000000e+00,2.999999999999999889e-01,0.000000000000000000e+00,9.999554999999999971e-01,1.403033333333333310e+01
