graph,T,k,N,rmse_hmf,rmse_dmf,epsc_mc,epsc_hmf,epsc_dmf
0.000000000000000000e+00,4.000000000000000222e-01,1.000000000000000000e+01,8.000000000000000000e+02,3.918346744610960997e-01,3.905449045055903179e-01,5.378414468283223560e-01,7.001842893013003888e-01,7.000667919409818696e-01
0.000000000000000000e+00,6.500000000000000222e-01,1.000000000000000000e+01,8.000000000000000000e+02,3.375576030135551964e-01,3.343538500984890582e-01,4.999478759323335297e-01,6.199389448274155168e-01,6.196897062384136845e-01
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+01,8.000000000000000000e+02,2.720938058157733597e-01,3.238945936953137039e-01,4.595780992243654883e-01,5.398369211806712809e-01,5.788486062620747941e-01
0.000000000000000000e+00,6.500000000000000222e-01,6.000000000000000000e+00,8.000000000000000000e+02,3.844942005506187255e-01,3.686181259100509977e-01,3.790678490610331353e-01,5.395614840596240080e-01,5.384834444714639012e-01
0.000000000000000000e+00,6.500000000000000222e-01,2.000000000000000000e+01,8.000000000000000000e+02,2.760402498269594607e-01,2.759519624796059056e-01,6.201126054682979394e-01,7.000090374940005633e-01,7.000006896508482734e-01
0.000000000000000000e+00,6.500000000000000222e-01,1.000000000000000000e+01,4.000000000000000000e+02,2.754181432315850886e-01,2.891879733967634425e-01,5.399627832026603347e-01,6.199494969447184589e-01,6.392122729925717728e-01
0.000000000000000000e+00,6.500000000000000222e-01,1.000000000000000000e+01,1.600000000000000000e+03,3.377401166846660252e-01,3.344514010707196894e-01,4.995391233854059032e-01,6.199434511749621901e-01,6.196911545174079716e-01
1.000000000000000000e+00,4.000000000000000222e-01,1.000000000000000000e+01,8.000000000000000000e+02,3.899577271542948309e-01,3.876334469831611007e-01,5.401866786425802980e-01,7.000492378772216195e-01,6.998693821865868969e-01
1.000000000000000000e+00,6.500000000000000222e-01,1.000000000000000000e+01,8.000000000000000000e+02,2.975994950408016315e-01,2.894878313412386772e-01,5.143617203902445256e-01,6.199408113936429876e-01,6.194508387859076759e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+01,8.000000000000000000e+02,2.725349209436284115e-01,2.549228373586360230e-01,4.587278050348930769e-01,5.397118346468764427e-01,5.382846144657352783e-01
1.000000000000000000e+00,6.500000000000000222e-01,6.000000000000000000e+00,8.000000000000000000e+02,3.809407769970810653e-01,3.520981897268050664e-01,3.789151652640876944e-01,5.396031235904948931e-01,5.371939445674072111e-01
1.000000000000000000e+00,6.500000000000000222e-01,2.000000000000000000e+01,8.000000000000000000e+02,2.764251689679306234e-01,2.756813902726876209e-01,6.200802001850386214e-01,7.000087859356671771e-01,7.000293870932238205e-01
1.000000000000000000e+00,6.500000000000000222e-01,1.000000000000000000e+01,4.000000000000000000e+02,2.887571728299683782e-01,2.805077977135163048e-01,5.215148432164483649e-01,6.199378188977209270e-01,6.196284356726622367e-01
1.000000000000000000e+00,6.500000000000000222e-01,1.000000000000000000e+01,1.600000000000000000e+03,3.373875015499130936e-01,3.293678689981758279e-01,4.998553742614289530e-01,6.199422597968047288e-01,6.195638845334440203e-01
