epsilon,mc,hmf,dmf
0.000000000000000000e+00,9.990050000000000319e-01,9.999991759775964661e-01,9.989134331224287511e-01
4.000000000000000083e-02,9.989299999999999846e-01,9.999990208775889622e-01,9.988959486304065383e-01
8.000000000000000167e-02,9.989200000000000301e-01,9.999984971852476923e-01,9.988424559464049723e-01
1.199999999999999956e-01,9.987819999999999476e-01,9.999974077312497878e-01,9.987497280876737049e-01
1.600000000000000033e-01,9.986110000000000264e-01,9.999953422947777115e-01,9.986120045985403815e-01
2.000000000000000111e-01,9.984250000000000069e-01,9.999915230005289590e-01,9.984203525034890392e-01
2.399999999999999911e-01,9.981409999999999449e-01,9.999845108911766811e-01,9.981616236351066318e-01
2.800000000000000266e-01,9.978010000000000490e-01,9.999716622175156555e-01,9.978168161101327316e-01
3.200000000000000067e-01,9.972969999999999891e-01,9.999481264125276159e-01,9.973585107443936337e-01
3.599999999999999867e-01,9.966620000000000479e-01,9.999049972361144789e-01,9.967468095284153229e-01
4.000000000000000222e-01,9.956460000000000310e-01,9.998258828704392753e-01,9.959227434336510587e-01
4.400000000000000022e-01,9.943319999999999936e-01,9.996804735449116297e-01,9.947971891698567104e-01
4.799999999999999822e-01,9.920280000000000209e-01,9.994122351063357002e-01,9.932313038886738665e-01
5.200000000000000178e-01,2.227569999999999897e-03,9.989139985924246901e-01,9.909995527621372480e-01
5.600000000000000533e-01,4.923010000000000233e-03,9.979763041602026652e-01,9.877126375225714350e-01
5.999999999999999778e-01,4.677490000000000293e-03,9.961647079529006854e-01,9.826310040784389521e-01
6.400000000000000133e-01,1.271379999999999906e-03,6.685259820284685265e-04,5.923784739443893350e-04
6.800000000000000488e-01,1.900959999999999933e-03,5.083287717917647774e-04,6.633301734918391201e-04
7.199999999999999734e-01,2.810550000000000201e-03,5.926396888885570409e-04,5.812154803770577371e-04
7.600000000000000089e-01,3.013389999999999905e-03,6.274489530313880330e-04,6.705343722807737819e-04
8.000000000000000444e-01,2.333800000000000024e-03,5.193611983191047127e-04,6.155548066340727235e-04
8.399999999999999689e-01,1.598459999999999898e-03,5.272533463060225835e-04,5.313900353731887188e-04
8.800000000000000044e-01,3.679840000000000194e-04,5.284851766751592905e-04,5.411245305782042339e-04
9.200000000000000400e-01,7.528380000000000315e-04,5.288207569964566710e-04,5.461958045027610377e-04
9.599999999999999645e-01,2.240639999999999906e-03,5.289562908049833066e-04,5.493346768151293955e-04
1.000000000000000000e+00,1.790659999999999908e-03,5.290262886941838336e-04,5.513937064857109271e-04
