epsilon,k2,k5,k10,k50,k200
0.000000000000000000e+00,7.529255454327899999e-01,9.986176689899389780e-01,9.999993752997493601e-01,9.999999999999998890e-01,9.999999999999998890e-01
2.000000000000000042e-02,7.513427910515138031e-01,9.986010042113867557e-01,9.999993454936194626e-01,9.999999999999998890e-01,9.999999999999998890e-01
4.000000000000000083e-02,7.464385217268850736e-01,9.985505825793529189e-01,9.999992532307924176e-01,9.999999999999998890e-01,9.999999999999998890e-01
5.999999999999999778e-02,7.376803901726628476e-01,9.984651087676617021e-01,9.999990897064422457e-01,9.999999999999998890e-01,9.999999999999998890e-01
8.000000000000000167e-02,3.512091974659342555e-03,9.983423784187027694e-01,9.999988393148681043e-01,9.999999999999998890e-01,1.000000000000000000e+00
1.000000000000000056e-01,1.027557813662214334e-03,9.981792074397526360e-01,9.999984781597273109e-01,9.999999999999998890e-01,1.000000000000000000e+00
1.199999999999999956e-01,7.512857814870429118e-04,9.979713278049617831e-01,9.999979717725701045e-01,9.999999999999998890e-01,1.000000000000000000e+00
1.400000000000000133e-01,1.321309815683869302e-03,9.977132440332793228e-01,9.999972718215318634e-01,9.999999999999998890e-01,1.000000000000000000e+00
1.600000000000000033e-01,1.052761412111254992e-03,9.973980418552355065e-01,9.999963114952284959e-01,1.000000000000000222e+00,1.000000000000000000e+00
1.799999999999999933e-01,1.222547834350039189e-03,9.970171369587123023e-01,9.999949991197932819e-01,1.000000000000000222e+00,1.000000000000000000e+00
2.000000000000000111e-01,2.703928242681042878e-04,9.965599465891977760e-01,9.999932093969947644e-01,1.000000000000000222e+00,1.000000000000000222e+00
2.200000000000000011e-01,1.071221999532463113e-03,9.960134593410807646e-01,9.999907714218612131e-01,1.000000000000000222e+00,1.000000000000000222e+00
2.399999999999999911e-01,9.431861511711561513e-04,9.953616673561526129e-01,9.999874523262679560e-01,1.000000000000000222e+00,1.000000000000000222e+00
2.600000000000000089e-01,9.072519396772454978e-04,9.945848080604147157e-01,9.999829349688761360e-01,1.000000000000000222e+00,1.000000000000000222e+00
2.800000000000000266e-01,9.859556030713324034e-04,9.936583355525915318e-01,9.999767875076807089e-01,1.000000000000000222e+00,1.000000000000000222e+00
2.999999999999999889e-01,5.616994441290967029e-04,9.925514976583752480e-01,9.999684218870501518e-01,1.000000000000000222e+00,1.000000000000000222e+00
3.200000000000000067e-01,7.865209970550630491e-04,9.912253200677567655e-01,9.999570371580910333e-01,1.000000000000000222e+00,1.000000000000000222e+00
3.400000000000000244e-01,3.668821727285972827e-04,9.896296674997581144e-01,9.999415420011459332e-01,1.000000000000000222e+00,1.000000000000000222e+00
3.599999999999999867e-01,8.816674892353390221e-04,9.876988087122806625e-01,9.999204486433558303e-01,1.000000000000000222e+00,1.000000000000000222e+00
3.800000000000000044e-01,8.889160146455527944e-04,9.853444360512312317e-01,9.998917272774575649e-01,1.000000000000000222e+00,1.000000000000000222e+00
4.000000000000000222e-01,8.684654829406067899e-04,9.824440904618960690e-01,9.998526056501871873e-01,1.000000000000000222e+00,1.000000000000000222e+00
4.199999999999999845e-01,5.962393306589572816e-04,9.788206525281777370e-01,9.997992919989368010e-01,1.000000000000000222e+00,1.000000000000000222e+00
4.400000000000000022e-01,1.090164498630090281e-04,9.742026886592194401e-01,9.997265898223027802e-01,1.000000000000000222e+00,1.000000000000000222e+00
