epsilon,mc_g0_T40_k10_N500,hmf_g0_T40_k10_N500,mc_g0_T65_k10_N500,hmf_g0_T65_k10_N500,mc_g0_T100_k10_N500,hmf_g0_T100_k10_N500,mc_g0_T65_k6_N500,hmf_g0_T65_k6_N500,mc_g0_T65_k20_N500,hmf_g0_T65_k20_N500,mc_g0_T65_k10_N250,hmf_g0_T65_k10_N250,mc_g0_T65_k10_N1000,hmf_g0_T65_k10_N1000,mc_g1_T65_k10_N500,hmf_g1_T65_k10_N500,mc_g1_T65_k20_N500,hmf_g1_T65_k20_N500
0.000000000000000000e+00,9.997236666666666771e-01,9.999999999642598114e-01,9.988586666666666725e-01,9.999994315576771209e-01,9.948350000000000248e-01,9.998717493738218387e-01,9.866430000000000478e-01,9.997796255537599874e-01,9.999953333333332361e-01,9.999999999998611111e-01,9.995026666666667614e-01,9.999995555859766405e-01,9.989846666666667430e-01,9.999993842057863791e-01,9.994933333333332337e-01,9.999992714039188657e-01,1.000000000000000000e+00,9.999999999997597477e-01
4.000000000000000083e-02,9.997376666666667466e-01,9.999999999445915444e-01,9.988536666666666397e-01,9.999993190716215397e-01,9.947733333333333983e-01,9.998611993954190647e-01,9.865289999999999893e-01,9.997633946262487470e-01,9.999943333333333184e-01,9.999999999997410960e-01,9.995503333333332074e-01,9.999994647320219476e-01,9.989940000000000486e-01,9.999992636453537420e-01,9.994629999999999903e-01,9.999991319531568168e-01,1.000000000000000000e+00,9.999999999995617950e-01
8.000000000000000167e-02,9.997493333333333787e-01,9.999999998639368393e-01,9.987916666666666332e-01,9.999989370918981324e-01,9.943460000000000631e-01,9.998277990211763555e-01,9.859653333333332492e-01,9.997122783863274798e-01,9.999989999999999712e-01,9.999999999991809885e-01,9.994896666666667207e-01,9.999991550206186464e-01,9.989166666666666750e-01,9.999988547538841699e-01,9.994049999999999878e-01,9.999986602155680471e-01,1.000000000000000000e+00,9.999999999986464161e-01
1.199999999999999956e-01,9.997396666666666931e-01,9.999999996335281471e-01,9.986920000000000242e-01,9.999981344273348727e-01,9.940546666666666420e-01,9.997659967865060171e-01,9.848793333333333289e-01,9.996186253688904566e-01,9.999989999999999712e-01,9.999999999972222220e-01,9.994456666666665656e-01,9.999984998094778588e-01,9.988169999999999549e-01,9.999979974081958378e-01,9.993180000000000396e-01,9.999976755907080683e-01,1.000000000000000000e+00,9.999999999955094809e-01
1.600000000000000033e-01,9.996996666666667641e-01,9.999999989997662153e-01,9.986049999999999649e-01,9.999965933504274540e-01,9.934533333333334104e-01,9.996654814973021663e-01,9.837213333333333365e-01,9.994683407604129100e-01,9.999989999999999712e-01,9.999999999905221371e-01,9.993293333333332917e-01,9.999972311622769006e-01,9.987343333333332795e-01,9.999963558406297359e-01,9.991373333333334328e-01,9.999958010877446624e-01,1.000000000000000000e+00,9.999999999850112120e-01
2.000000000000000111e-01,9.996830000000000993e-01,9.999999972651103519e-01,9.984603333333333941e-01,9.999937037436581466e-01,9.926429999999998310e-01,9.995093740566608487e-01,9.813916666666666622e-01,9.992385991857906102e-01,9.999989999999999712e-01,9.999999999676406626e-01,9.991693333333332427e-01,9.999948302209997752e-01,9.985936666666667128e-01,9.999932870464535162e-01,9.988306666666666445e-01,9.999923188662185325e-01,1.000000000000000000e+00,9.999999999499303849e-01
2.399999999999999911e-01,9.996566666666666379e-01,9.999999925203322260e-01,9.982233333333333514e-01,9.999883212610278793e-01,9.914659999999999584e-01,9.992711900103983247e-01,9.783966666666666923e-01,9.988940067061318206e-01,9.999989999999999712e-01,9.999999998895150455e-01,9.990250000000000519e-01,9.999903147886762822e-01,9.983523333333333971e-01,9.999875885955272770e-01,9.984273333333332223e-01,9.999858949395110663e-01,9.999913333333333432e-01,9.999999998327376849e-01
2.800000000000000266e-01,9.996233333333334192e-01,9.999999795431465666e-01,9.979003333333332781e-01,9.999783131380232115e-01,9.900209999999999289e-01,9.989098779603846623e-01,9.745330000000000936e-01,9.983803180589677639e-01,9.999970000000000248e-01,9.999999996227695309e-01,9.987753333333332373e-01,9.999818367775910044e-01,9.980463333333332576e-01,9.999770263840960238e-01,9.978443333333334442e-01,9.999740667911792835e-01,9.999913333333333432e-01,9.999999994412414051e-01
3.200000000000000067e-01,9.995603333333332730e-01,9.999999440503267722e-01,9.974943333333333717e-01,9.999597096297064835e-01,9.879000000000001114e-01,9.983616506875179208e-01,9.674320000000000697e-01,9.976140122240113595e-01,9.999933333333332897e-01,9.999999987120138378e-01,9.984060000000000157e-01,9.999659231888805566e-01,9.976310000000000455e-01,9.999574549460685802e-01,9.970099999999999518e-01,9.999522948195731509e-01,9.999816666666667686e-01,9.999999981334053434e-01
3.599999999999999867e-01,9.994793333333333862e-01,9.999998469767601428e-01,9.969203333333332973e-01,9.999251173889673883e-01,9.847403333333334396e-01,9.975261151503620471e-01,8.288753333333334083e-01,9.964643105836598069e-01,9.999933333333332897e-01,9.999999956023983838e-01,9.979646666666667221e-01,9.999360441264671939e-01,9.970379999999999798e-01,9.999211773750645849e-01,9.956053333333333422e-01,9.999122044875450310e-01,9.999696666666667566e-01,9.999999937644322712e-01
