k,eps_c_ER,eps_c_BA,eps_c_HMF,eps_c_HMF_ordered_init
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.326852898794165458e-02,1.299396396657507280e-01
4.000000000000000000e+00,2.213373939356991227e-01,2.200161129451630448e-01,4.188439163006157373e-01,4.577198695089459424e-01
6.000000000000000000e+00,3.793999101555571851e-01,3.788646759323701652e-01,5.396148095387024446e-01,5.791490791566613616e-01
8.000000000000000000e+00,4.596880315260347127e-01,4.594191527562903055e-01,6.197613266883528205e-01,6.594574202545665509e-01
1.000000000000000000e+01,5.000997330727638968e-01,5.002650375424886331e-01,6.199449653788573489e-01,6.997191437194215657e-01
1.200000000000000000e+01,5.403143325816308629e-01,5.399606767751590208e-01,6.600913428743924172e-01,7.397863858290290029e-01
1.400000000000000000e+01,5.800990747406329362e-01,5.800311216756330879e-01,6.600788088930021891e-01,7.797697584847638197e-01
1.600000000000000000e+01,5.801499577430545562e-01,5.801292576298452408e-01,7.001355649753832067e-01,8.195520722849346518e-01
1.800000000000000000e+01,5.898382927921205221e-01,5.803115775800951059e-01,7.003416520489301744e-01,8.198528130723967688e-01
2.000000000000000000e+01,6.201245017829190020e-01,6.201260924008569209e-01,7.000089967953995185e-01,8.199363279308552466e-01
2.200000000000000000e+01,6.203226330282519685e-01,6.202033985084675072e-01,7.000100011264340782e-01,8.597938377541115562e-01
2.400000000000000000e+01,6.600826893151855446e-01,6.602374034507996203e-01,7.000108254527969143e-01,8.599048062232848011e-01
2.600000000000000000e+01,6.601015021729789156e-01,6.601127216058499947e-01,7.000105116106082326e-01,8.599529156746237302e-01
2.800000000000000000e+01,6.600174978290268557e-01,6.556087509619892284e-01,7.000110646468624687e-01,8.599775878949670327e-01
3.000000000000000000e+01,6.601216828027810513e-01,6.600696799818820404e-01,7.400105159136975974e-01,8.997463232875492212e-01
3.200000000000000000e+01,6.600307903293547440e-01,6.602606950171830968e-01,7.400105580167547492e-01,8.998892661226793876e-01
3.400000000000000000e+01,6.600777160200618221e-01,6.960653531338161226e-01,7.400105757575151655e-01,8.999385344935820763e-01
3.600000000000000000e+01,6.600528856759220186e-01,7.001784033515856542e-01,7.400105832244950887e-01,8.999649160664708880e-01
3.800000000000000000e+01,7.000957759028397787e-01,7.001194371253857129e-01,7.400105863618157143e-01,8.999808205510047010e-01
4.000000000000000000e+01,7.000926524445112431e-01,7.000316777168614779e-01,7.000111363458642044e-01,8.999909059021866664e-01
4.200000000000000000e+01,7.000602189719340451e-01,7.000917454714176147e-01,7.000105890342639414e-01,8.999969350210510477e-01
4.400000000000000000e+01,7.000305682495943094e-01,7.000714052283842914e-01,6.600105929759337853e-01,9.000013090514794589e-01
4.600000000000000000e+01,7.066441789796078510e-01,7.001021163484306697e-01,6.600105921149967969e-01,9.000048035437594462e-01
4.800000000000000000e+01,7.000261884468939044e-01,7.375487305768011481e-01,6.600105914100092841e-01,9.000062444456428112e-01
5.000000000000000000e+01,7.002586687603326032e-01,7.003350194453623612e-01,6.600105908379380049e-01,9.000081569925153513e-01
5.200000000000000000e+01,7.265812261688553431e-01,7.400117607116526441e-01,6.600105903769788451e-01,9.399367155571253241e-01
5.400000000000000000e+01,7.000121233443219460e-01,7.012731467791817330e-01,6.600105900076231880e-01,9.399586348644259903e-01
5.600000000000000000e+01,7.012611452252092148e-01,7.401108164306697823e-01,6.600105897130007504e-01,9.399727201391391285e-01
5.800000000000000000e+01,7.359948128649475008e-01,7.400865910846408102e-01,6.600105894788529382e-01,9.399824237757703482e-01
6.000000000000000000e+01,7.400180939988598716e-01,7.401056871529745340e-01,6.600105892933252338e-01,9.399893676496825501e-01
6.200000000000000000e+01,7.400896113184548541e-01,7.092796188964803905e-01,7.000105886202324657e-01,9.399944561217150607e-01
6.400000000000000000e+01,7.105780006574270447e-01,7.400408263698475819e-01,7.000105886165334246e-01,9.399982453075853561e-01
6.600000000000000000e+01,7.383907408205799827e-01,7.402560239896143202e-01,6.600111392026527524e-01,9.400010993105469836e-01
6.800000000000000000e+01,7.467100081064874662e-01,7.401275442222273737e-01,7.000105886121961163e-01,9.400032669942709473e-01
7.000000000000000000e+01,7.400523209167825245e-01,7.400385270740790222e-01,7.000105886109676545e-01,9.400049237829165572e-01
7.200000000000000000e+01,7.400851417191531834e-01,7.400893980220922819e-01,7.000105886101173347e-01,9.400061961850172398e-01
7.400000000000000000e+01,7.400375276844743944e-01,7.400960668359813921e-01,7.000105886095290275e-01,9.400071770197964138e-01
7.600000000000000000e+01,7.400365472633047004e-01,7.401989979014553800e-01,7.000105886091219087e-01,9.400079352970812652e-01
7.800000000000000000e+01,7.467009863344351572e-01,7.401165840535556262e-01,7.000105886088403562e-01,9.400085228563769268e-01
8.000000000000000000e+01,7.401447482757077534e-01,7.588144513965440208e-01,7.000105886086456231e-01,9.400089789553917052e-01
