T,N,degree,epsilon,m_psi
2.999999999999999889e-01,8.000000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,4.706850000000000200e-01
2.999999999999999889e-01,8.000000000000000000e+02,2.000000000000000000e+00,5.000000000000000278e-02,5.074670000000000014e-01
2.999999999999999889e-01,8.000000000000000000e+02,2.000000000000000000e+00,1.000000000000000056e-01,8.171720000000000095e-01
2.999999999999999889e-01,8.000000000000000000e+02,2.000000000000000000e+00,1.500000000000000222e-01,5.522780000000000050e-02
2.999999999999999889e-01,8.000000000000000000e+02,2.000000000000000000e+00,2.000000000000000111e-01,6.745379999999999432e-02
2.999999999999999889e-01,8.000000000000000000e+02,2.000000000000000000e+00,2.500000000000000000e-01,4.356209999999999943e-02
2.999999999999999889e-01,8.000000000000000000e+02,2.000000000000000000e+00,3.000000000000000444e-01,1.155020000000000005e-02
2.999999999999999889e-01,8.000000000000000000e+02,2.000000000000000000e+00,3.500000000000000333e-01,1.053849999999999926e-02
2.999999999999999889e-01,8.000000000000000000e+02,2.000000000000000000e+00,4.000000000000000222e-01,5.275980000000000426e-03
2.999999999999999889e-01,8.000000000000000000e+02,2.000000000000000000e+00,4.500000000000000111e-01,7.916849999999999582e-03
2.999999999999999889e-01,8.000000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e-01,4.814650000000000180e-03
2.999999999999999889e-01,8.000000000000000000e+02,2.000000000000000000e+00,5.500000000000000444e-01,3.232280000000000136e-03
2.999999999999999889e-01,8.000000000000000000e+02,2.000000000000000000e+00,6.000000000000000888e-01,2.218009999999999860e-03
2.999999999999999889e-01,8.000000000000000000e+02,2.000000000000000000e+00,6.500000000000000222e-01,7.399840000000000410e-03
2.999999999999999889e-01,8.000000000000000000e+02,2.000000000000000000e+00,7.000000000000000666e-01,3.863010000000000055e-03
2.999999999999999889e-01,8.000000000000000000e+02,2.000000000000000000e+00,7.500000000000000000e-01,4.607230000000000136e-04
2.999999999999999889e-01,8.000000000000000000e+02,2.000000000000000000e+00,8.000000000000000444e-01,4.938200000000000228e-03
2.999999999999999889e-01,8.000000000000000000e+02,2.000000000000000000e+00,8.500000000000000888e-01,4.649549999999999690e-03
2.999999999999999889e-01,8.000000000000000000e+02,2.000000000000000000e+00,9.000000000000000222e-01,3.719339999999999799e-03
2.999999999999999889e-01,8.000000000000000000e+02,2.000000000000000000e+00,9.500000000000000666e-01,1.163189999999999927e-03
2.999999999999999889e-01,8.000000000000000000e+02,2.000000000000000000e+00,1.000000000000000000e+00,1.415290000000000038e-03
2.999999999999999889e-01,8.000000000000000000e+02,4.000000000000000000e+00,0.000000000000000000e+00,9.910639999999999450e-01
2.999999999999999889e-01,8.000000000000000000e+02,4.000000000000000000e+00,5.000000000000000278e-02,9.905410000000000048e-01
2.999999999999999889e-01,8.000000000000000000e+02,4.000000000000000000e+00,1.000000000000000056e-01,9.897000000000000242e-01
2.999999999999999889e-01,8.000000000000000000e+02,4.000000000000000000e+00,1.500000000000000222e-01,9.879430000000000156e-01
2.999999999999999889e-01,8.000000000000000000e+02,4.000000000000000000e+00,2.000000000000000111e-01,9.851269999999999749e-01
2.999999999999999889e-01,8.000000000000000000e+02,4.000000000000000000e+00,2.500000000000000000e-01,9.768860000000000321e-01
2.999999999999999889e-01,8.000000000000000000e+02,4.000000000000000000e+00,3.000000000000000444e-01,8.305390000000000272e-01
2.999999999999999889e-01,8.000000000000000000e+02,4.000000000000000000e+00,3.500000000000000333e-01,1.662319999999999909e-01
2.999999999999999889e-01,8.000000000000000000e+02,4.000000000000000000e+00,4.000000000000000222e-01,1.978020000000000125e-02
2.999999999999999889e-01,8.000000000000000000e+02,4.000000000000000000e+00,4.500000000000000111e-01,4.809339999999999622e-03
2.999999999999999889e-01,8.000000000000000000e+02,4.000000000000000000e+00,5.000000000000000000e-01,3.626980000000000134e-03
2.999999999999999889e-01,8.000000000000000000e+02,4.000000000000000000e+00,5.500000000000000444e-01,4.521439999999999834e-03
2.999999999999999889e-01,8.000000000000000000e+02,4.000000000000000000e+00,6.000000000000000888e-01,9.619890000000000082e-04
2.999999999999999889e-01,8.000000000000000000e+02,4.000000000000000000e+00,6.500000000000000222e-01,9.576050000000000447e-04
