degree,epsilon,m_psi
2.000000000000000000e+00,0.000000000000000000e+00,1.228940000000000032e-01
2.000000000000000000e+00,4.000000000000000083e-02,1.261120000000000019e-01
2.000000000000000000e+00,8.000000000000000167e-02,1.689879999999999993e-01
2.000000000000000000e+00,1.199999999999999956e-01,1.203729999999999939e-01
2.000000000000000000e+00,1.600000000000000033e-01,8.798809999999999965e-02
2.000000000000000000e+00,2.000000000000000111e-01,5.530700000000000199e-02
2.000000000000000000e+00,2.399999999999999911e-01,1.048830000000000075e-02
2.000000000000000000e+00,2.800000000000000266e-01,2.484079999999999969e-02
2.000000000000000000e+00,3.200000000000000067e-01,2.817659999999999956e-02
2.000000000000000000e+00,3.599999999999999867e-01,8.765439999999999343e-03
2.000000000000000000e+00,4.000000000000000222e-01,6.778560000000000314e-03
2.000000000000000000e+00,4.400000000000000022e-01,1.787339999999999892e-03
2.000000000000000000e+00,4.799999999999999822e-01,1.948349999999999952e-03
2.000000000000000000e+00,5.200000000000000178e-01,3.127650000000000048e-03
2.000000000000000000e+00,5.600000000000000533e-01,2.037740000000000124e-03
2.000000000000000000e+00,5.999999999999999778e-01,7.126959999999999892e-03
2.000000000000000000e+00,6.400000000000000133e-01,5.567889999999999819e-03
2.000000000000000000e+00,6.800000000000000488e-01,3.168439999999999798e-03
2.000000000000000000e+00,7.199999999999999734e-01,3.264350000000000064e-03
2.000000000000000000e+00,7.600000000000000089e-01,2.069839999999999874e-03
2.000000000000000000e+00,8.000000000000000444e-01,5.380379999999999711e-03
2.000000000000000000e+00,8.399999999999999689e-01,2.546619999999999873e-03
2.000000000000000000e+00,8.800000000000000044e-01,6.208849999999999482e-04
2.000000000000000000e+00,9.200000000000000400e-01,2.163679999999999857e-03
2.000000000000000000e+00,9.599999999999999645e-01,4.474589999999999644e-03
2.000000000000000000e+00,1.000000000000000000e+00,3.165630000000000006e-03
4.000000000000000000e+00,0.000000000000000000e+00,9.139779999999999571e-01
4.000000000000000000e+00,4.000000000000000083e-02,9.115079999999999849e-01
4.000000000000000000e+00,8.000000000000000167e-02,9.073090000000000321e-01
4.000000000000000000e+00,1.199999999999999956e-01,8.990740000000000398e-01
4.000000000000000000e+00,1.600000000000000033e-01,8.827679999999999971e-01
4.000000000000000000e+00,2.000000000000000111e-01,8.496899999999999453e-01
4.000000000000000000e+00,2.399999999999999911e-01,1.508730000000000071e-01
4.000000000000000000e+00,2.800000000000000266e-01,5.609680000000000222e-02
4.000000000000000000e+00,3.200000000000000067e-01,2.131639999999999924e-02
4.000000000000000000e+00,3.599999999999999867e-01,4.689879999999999570e-03
4.000000000000000000e+00,4.000000000000000222e-01,1.030469999999999997e-02
4.000000000000000000e+00,4.400000000000000022e-01,5.263669999999999807e-03
4.000000000000000000e+00,4.799999999999999822e-01,5.028679999999999782e-03
4.000000000000000000e+00,5.200000000000000178e-01,8.364050000000000261e-04
4.000000000000000000e+00,5.600000000000000533e-01,3.022780000000000085e-03
4.000000000000000000e+00,5.999999999999999778e-01,2.225099999999999821e-03
4.000000000000000000e+00,6.400000000000000133e-01,4.925009999999999631e-03
4.000000000000000000e+00,6.800000000000000488e-01,5.511969999999999717e-03
4.000000000000000000e+00,7.199999999999999734e-01,6.017289999999999792e-03
4.000000000000000000e+00,7.600000000000000089e-01,2.913300000000000178e-03
4.000000000000000000e+00,8.000000000000000444e-01,2.192219999999999933e-03
4.000000000000000000e+00,8.399999999999999689e-01,3.964109999999999856e-03
4.000000000000000000e+00,8.800000000000000044e-01,2.510989999999999837e-03
4.000000000000000000e+00,9.200000000000000400e-01,1.451800000000000052e-03
4.000000000000000000e+00,9.599999999999999645e-01,4.388190000000000146e-03
4.000000000000000000e+00,1.000000000000000000e+00,2.480809999999999960e-03
6.000000000000000000e+00,0.000000000000000000e+00,9.858240000000000336e-01
6.000000000000000000e+00,4.000000000000000083e-02,9.856719999999999926e-01
6.000000000000000000e+00,8.000000000000000167e-02,9.848820000000000352e-01
6.000000000000000000e+00,1.199999999999999956e-01,9.830050000000000177e-01
6.000000000000000000e+00,1.600000000000000033e-01,9.802549999999999875e-01
6.000000000000000000e+00,2.000000000000000111e-01,9.774089999999999723e-01
6.000000000000000000e+00,2.399999999999999911e-01,9.725059999999999816e-01
6.000000000000000000e+00,2.800000000000000266e-01,9.652020000000000044e-01
6.000000000000000000e+00,3.200000000000000067e-01,9.545960000000000001e-01
6.000000000000000000e+00,3.599999999999999867e-01,9.238579999999999570e-01
6.000000000000000000e+00,4.000000000000000222e-01,2.512429999999999872e-02
6.000000000000000000e+00,4.400000000000000022e-01,2.206299999999999928e-02
6.000000000000000000e+00,4.799999999999999822e-01,1.562840000000000062e-02
6.000000000000000000e+00,5.200000000000000178e-01,5.542140000000000087e-03
6.000000000000000000e+00,5.600000000000000533e-01,3.392870000000000087e-03
6.000000000000000000e+00,5.999999999999999778e-01,2.471230000000000041e-03
6.000000000000000000e+00,6.400000000000000133e-01,1.112050000000000061e-03
6.000000000000000000e+00,6.800000000000000488e-01,2.397740000000000201e-03
6.000000000000000000e+00,7.199999999999999734e-01,3.064260000000000074e-03
6.000000000000000000e+00,7.600000000000000089e-01,2.401570000000000007e-03
6.000000000000000000e+00,8.000000000000000444e-01,2.188869999999999932e-04
6.000000000000000000e+00,8.399999999999999689e-01,4.467969999999999928e-03
6.000000000000000000e+00,8.800000000000000044e-01,3.639480000000000059e-03
6.000000000000000000e+00,9.200000000000000400e-01,3.676920000000000188e-03
6.000000000000000000e+00,9.599999999999999645e-01,3.786780000000000007e-03
6.000000000000000000e+00,1.000000000000000000e+00,1.324730000000000091e-03
