degree,epsilon,m_psi
2.000000000000000000e+00,0.000000000000000000e+00,3.953920000000000212e-01
2.000000000000000000e+00,4.000000000000000083e-02,4.061500000000000110e-01
2.000000000000000000e+00,8.000000000000000167e-02,8.661469999999999239e-03
2.000000000000000000e+00,1.199999999999999956e-01,5.453949999999999770e-02
2.000000000000000000e+00,1.600000000000000033e-01,3.014419999999999947e-02
2.000000000000000000e+00,2.000000000000000111e-01,2.589019999999999863e-02
2.000000000000000000e+00,2.399999999999999911e-01,6.027850000000000395e-03
2.000000000000000000e+00,2.800000000000000266e-01,1.203850000000000059e-02
2.000000000000000000e+00,3.200000000000000067e-01,6.226299999999999717e-03
2.000000000000000000e+00,3.599999999999999867e-01,8.888280000000000139e-03
2.000000000000000000e+00,4.000000000000000222e-01,9.615379999999999761e-03
2.000000000000000000e+00,4.400000000000000022e-01,2.558959999999999881e-03
2.000000000000000000e+00,4.799999999999999822e-01,3.416619999999999987e-03
2.000000000000000000e+00,5.200000000000000178e-01,9.740379999999999872e-04
2.000000000000000000e+00,5.600000000000000533e-01,7.508860000000000014e-03
2.000000000000000000e+00,5.999999999999999778e-01,4.398029999999999821e-03
2.000000000000000000e+00,6.400000000000000133e-01,5.000329999999999879e-03
2.000000000000000000e+00,6.800000000000000488e-01,6.662780000000000091e-03
2.000000000000000000e+00,7.199999999999999734e-01,2.295360000000000195e-03
2.000000000000000000e+00,7.600000000000000089e-01,1.157749999999999925e-03
2.000000000000000000e+00,8.000000000000000444e-01,2.870629999999999883e-03
2.000000000000000000e+00,8.399999999999999689e-01,1.933000000000000039e-03
2.000000000000000000e+00,8.800000000000000044e-01,1.160030000000000045e-03
2.000000000000000000e+00,9.200000000000000400e-01,1.557800000000000027e-03
2.000000000000000000e+00,9.599999999999999645e-01,4.887589999999999600e-04
2.000000000000000000e+00,1.000000000000000000e+00,3.452939999999999829e-03
4.000000000000000000e+00,0.000000000000000000e+00,9.229279999999999706e-01
4.000000000000000000e+00,4.000000000000000083e-02,9.207549999999999901e-01
4.000000000000000000e+00,8.000000000000000167e-02,9.171059999999999768e-01
4.000000000000000000e+00,1.199999999999999956e-01,9.122639999999999638e-01
4.000000000000000000e+00,1.600000000000000033e-01,9.006290000000000129e-01
