frac,damage_seed,k_eff,eps_c
1.499999999999999944e-01,1.000000000000000000e+00,1.699599999999999866e+01,6.052889884136927190e-01
1.499999999999999944e-01,2.000000000000000000e+00,1.699599999999999866e+01,6.181650837812243671e-01
1.499999999999999944e-01,3.000000000000000000e+00,1.699599999999999866e+01,6.250686146516224451e-01
1.499999999999999944e-01,4.000000000000000000e+00,1.699599999999999866e+01,6.250315366609866530e-01
1.499999999999999944e-01,5.000000000000000000e+00,1.699599999999999866e+01,6.250631694126875804e-01
1.499999999999999944e-01,6.000000000000000000e+00,1.699599999999999866e+01,6.250229005185439224e-01
2.999999999999999889e-01,1.000000000000000000e+00,1.399600000000000044e+01,5.750748579475056799e-01
2.999999999999999889e-01,2.000000000000000000e+00,1.399600000000000044e+01,5.751035641766463202e-01
2.999999999999999889e-01,3.000000000000000000e+00,1.399600000000000044e+01,5.752602261846477827e-01
2.999999999999999889e-01,4.000000000000000000e+00,1.399600000000000044e+01,5.751068423791272366e-01
2.999999999999999889e-01,5.000000000000000000e+00,1.399600000000000044e+01,5.751685020960440875e-01
2.999999999999999889e-01,6.000000000000000000e+00,1.399600000000000044e+01,5.752997584169803336e-01
4.500000000000000111e-01,1.000000000000000000e+00,1.099600000000000044e+01,5.250944043366261305e-01
4.500000000000000111e-01,2.000000000000000000e+00,1.099600000000000044e+01,5.251534734719781605e-01
4.500000000000000111e-01,3.000000000000000000e+00,1.099600000000000044e+01,5.251451373795914535e-01
4.500000000000000111e-01,4.000000000000000000e+00,1.099600000000000044e+01,5.251386593697627836e-01
4.500000000000000111e-01,5.000000000000000000e+00,1.099600000000000044e+01,5.559797899178439140e-01
4.500000000000000111e-01,6.000000000000000000e+00,1.099600000000000044e+01,5.253807443696993928e-01
