epsilon,m
0.000000000000000000e+00,9.999964999999999549e-01
1.250000000000000069e-02,9.999964999999999549e-01
2.500000000000000139e-02,9.999964999999999549e-01
3.750000000000000555e-02,9.999957499999999611e-01
5.000000000000000278e-02,9.999957499999999611e-01
6.250000000000000000e-02,9.999992500000000062e-01
7.500000000000001110e-02,9.999992500000000062e-01
8.750000000000000833e-02,9.999992500000000062e-01
1.000000000000000056e-01,9.999992500000000062e-01
1.125000000000000028e-01,9.999992500000000062e-01
1.250000000000000000e-01,9.999992500000000062e-01
1.375000000000000111e-01,9.999992500000000062e-01
1.500000000000000222e-01,9.999992500000000062e-01
1.625000000000000056e-01,9.999992500000000062e-01
1.750000000000000167e-01,9.999992500000000062e-01
1.875000000000000000e-01,9.999992500000000062e-01
2.000000000000000111e-01,9.999992500000000062e-01
2.125000000000000222e-01,9.999992500000000062e-01
2.250000000000000056e-01,9.999992500000000062e-01
2.375000000000000167e-01,9.999992500000000062e-01
2.500000000000000000e-01,9.999977500000000186e-01
2.625000000000000111e-01,9.999977500000000186e-01
2.750000000000000222e-01,9.999977500000000186e-01
2.875000000000000333e-01,9.999977500000000186e-01
3.000000000000000444e-01,9.999972500000000597e-01
3.125000000000000000e-01,9.999949999999999672e-01
3.250000000000000111e-01,9.999949999999999672e-01
3.375000000000000222e-01,9.999949999999999672e-01
3.500000000000000333e-01,9.999949999999999672e-01
3.625000000000000444e-01,9.999949999999999672e-01
3.750000000000000000e-01,9.999949999999999672e-01
3.875000000000000111e-01,9.999934999999999796e-01
4.000000000000000222e-01,9.999934999999999796e-01
4.125000000000000333e-01,9.999929999999999097e-01
4.250000000000000444e-01,9.999914999999999221e-01
4.375000000000000000e-01,9.999884999999999469e-01
4.500000000000000111e-01,9.999814999999999676e-01
4.625000000000000222e-01,9.999777499999999986e-01
4.750000000000000333e-01,9.999777499999999986e-01
4.875000000000000444e-01,9.999734999999999596e-01
5.000000000000000000e-01,9.999577500000000896e-01
5.125000000000000666e-01,9.999520000000000630e-01
5.250000000000000222e-01,9.999419999999999975e-01
5.374999999999999778e-01,9.999342500000000244e-01
5.500000000000000444e-01,9.999250000000000638e-01
5.625000000000000000e-01,9.999022500000001035e-01
5.750000000000000666e-01,9.998795000000000321e-01
5.875000000000000222e-01,9.998502500000000515e-01
6.000000000000000888e-01,9.997942499999999955e-01
6.125000000000000444e-01,9.359292500000000459e-01
6.250000000000000000e-01,8.067617500000000552e-01
6.375000000000000666e-01,3.939377499999999720e-03
6.500000000000000222e-01,6.239527500000000525e-03
6.625000000000000888e-01,5.273837499999999706e-03
6.750000000000000444e-01,3.289915749999999632e-03
6.875000000000000000e-01,2.022037499999999703e-03
7.000000000000000666e-01,2.612734999999999710e-03
7.125000000000000222e-01,2.950472499999999727e-03
7.250000000000000888e-01,3.639804999999999863e-03
7.375000000000000444e-01,1.965028499999999911e-03
7.500000000000000000e-01,2.434730999999999874e-03
7.625000000000000666e-01,2.223607500000000011e-03
7.750000000000000222e-01,2.436134999999999863e-03
7.875000000000000888e-01,2.284089999999999905e-03
8.000000000000000444e-01,3.008789999999999902e-03
8.125000000000000000e-01,2.432515000000000111e-03
8.250000000000000666e-01,1.246875000000000153e-03
8.375000000000000222e-01,1.981573250000000230e-03
8.500000000000000888e-01,1.711489000000000066e-03
8.625000000000000444e-01,2.791644999999999717e-03
8.750000000000000000e-01,1.205176249999999945e-03
8.875000000000000666e-01,2.634627499999999799e-03
9.000000000000000222e-01,1.148345999999999959e-03
9.125000000000000888e-01,1.458632500000000025e-03
9.250000000000000444e-01,1.310716499999999918e-03
9.375000000000000000e-01,8.866675000000000077e-04
9.500000000000000666e-01,1.706132250000000046e-03
9.625000000000000222e-01,1.967104999999999809e-03
9.750000000000000888e-01,1.194250000000000216e-03
9.875000000000000444e-01,9.404960000000000837e-04
1.000000000000000000e+00,2.123047500000000039e-03
