epsilon,m_mean,m_std,m_min,m_max
0.000000000000000000e+00,9.999989600000001033e-01,3.218446830378977588e-06,9.999860000000000415e-01,1.000000000000000000e+00
5.000000000000000278e-02,9.999988400000000555e-01,3.716772793711785948e-06,9.999829999999999552e-01,1.000000000000000000e+00
1.000000000000000056e-01,9.999991599999999980e-01,2.166656410230981227e-06,9.999909999999999632e-01,1.000000000000000000e+00
1.500000000000000222e-01,9.999989200000000134e-01,2.667133292511509550e-06,9.999909999999999632e-01,1.000000000000000000e+00
2.000000000000000111e-01,9.999989200000000134e-01,2.667133292511509550e-06,9.999909999999999632e-01,1.000000000000000000e+00
2.500000000000000000e-01,9.999978000000000478e-01,5.403702434453757001e-06,9.999799999999999800e-01,1.000000000000000000e+00
3.000000000000000444e-01,9.999970000000001358e-01,5.628498911796109699e-06,9.999799999999999800e-01,1.000000000000000000e+00
3.500000000000000333e-01,9.999953600000001108e-01,9.103318076399663682e-06,9.999569999999999848e-01,1.000000000000000000e+00
4.000000000000000222e-01,9.999909999999999632e-01,1.705754964817111701e-05,9.999200000000000310e-01,1.000000000000000000e+00
4.500000000000000111e-01,9.999806399999999762e-01,2.476591205670745550e-05,9.998939999999999495e-01,1.000000000000000000e+00
5.000000000000000000e-01,9.999623200000000711e-01,3.856290445494210136e-05,9.998399999999999510e-01,9.999970000000000248e-01
5.500000000000000444e-01,9.999269200000000524e-01,5.507371060679434730e-05,9.997489999999999988e-01,9.999970000000000248e-01
6.000000000000000888e-01,9.998265199999997188e-01,1.003474444119116017e-04,9.995089999999999808e-01,9.999489999999999768e-01
6.500000000000000222e-01,1.912849683999999842e-02,6.598961197982107507e-02,9.157310000000000319e-04,3.421960000000000002e-01
7.000000000000000666e-01,3.185642279999999563e-03,1.360535257145790511e-03,1.363469999999999873e-04,5.577590000000000325e-03
7.500000000000000000e-01,2.594808000000000097e-03,1.552644179198827161e-03,3.208320000000000074e-04,5.500530000000000003e-03
8.000000000000000444e-01,2.619040919999999790e-03,1.029081233562206951e-03,7.539029999999999950e-04,5.783370000000000351e-03
8.500000000000000888e-01,2.042424760000000148e-03,1.044323054347543606e-03,3.678509999999999853e-04,4.545800000000000014e-03
9.000000000000000222e-01,1.683574960000000249e-03,9.569594190068239853e-04,3.926399999999999812e-04,4.398059999999999643e-03
9.500000000000000666e-01,1.670212640000000390e-03,8.787784283251781495e-04,3.828710000000000143e-04,3.696109999999999847e-03
1.000000000000000000e+00,1.578996039999999886e-03,6.563616097792729191e-04,2.918950000000000234e-04,2.814370000000000066e-03
