epsilon,m_N125,m_N250,m_N500,m_N1000,m_N2000,m_N4000
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.999964999999999549e-01,1.000000000000000000e+00,9.999992500000000062e-01,9.999997499999999651e-01
5.000000000000000278e-02,1.000000000000000000e+00,1.000000000000000000e+00,9.999957499999999611e-01,1.000000000000000000e+00,9.999992500000000062e-01,9.999997499999999651e-01
1.000000000000000056e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.999992500000000062e-01,1.000000000000000000e+00,9.999979999999999425e-01,9.999997499999999651e-01
1.500000000000000222e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.999992500000000062e-01,1.000000000000000000e+00,9.999982499999999774e-01,9.999997499999999651e-01
2.000000000000000111e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.999992500000000062e-01,1.000000000000000000e+00,9.999982499999999774e-01,9.999992500000000062e-01
2.500000000000000000e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.999977500000000186e-01,1.000000000000000000e+00,9.999977499999999075e-01,9.999987500000000473e-01
3.000000000000000444e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.999972500000000597e-01,9.999992500000000062e-01,9.999977499999999075e-01,9.999980000000000535e-01
3.500000000000000333e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.999949999999999672e-01,9.999947500000000433e-01,9.999949999999999672e-01,9.999947499999999323e-01
4.000000000000000222e-01,1.000000000000000000e+00,9.999914999999999221e-01,9.999934999999999796e-01,9.999947500000000433e-01,9.999910000000000743e-01,9.999907500000000393e-01
4.500000000000000111e-01,9.999915000000000331e-01,9.999887499999999818e-01,9.999814999999999676e-01,9.999905000000000044e-01,9.999857500000000066e-01,9.999812500000000437e-01
5.000000000000000000e-01,9.999770000000000048e-01,9.999712499999999782e-01,9.999577500000000896e-01,9.999789999999999512e-01,9.999694999999999556e-01,9.999664999999999804e-01
5.500000000000000444e-01,9.999485000000000179e-01,9.999230000000000063e-01,9.999250000000000638e-01,9.999410000000000798e-01,9.999309999999999032e-01,9.999235000000000761e-01
6.000000000000000888e-01,9.998200000000000420e-01,9.998469999999999303e-01,9.997942499999999955e-01,9.998397500000000271e-01,5.577485000000000082e-03,5.860522499999999690e-03
6.500000000000000222e-01,9.996315000000000062e-01,9.982172500000000559e-01,6.239527500000000525e-03,4.470428999999999722e-03,1.963435000000000354e-03,1.870172500000000194e-03
7.000000000000000666e-01,7.322373249999999389e-01,5.114502499999999674e-03,2.612734999999999710e-03,1.774465250000000112e-03,3.726095000000000015e-03,1.001378000000000034e-03
7.500000000000000000e-01,7.062109999999999915e-03,3.973850000000000125e-03,2.434730999999999874e-03,1.203751250000000168e-03,1.377842499999999953e-03,8.943110000000000642e-04
8.000000000000000444e-01,4.725217500000000043e-03,3.791842500000000300e-03,3.008789999999999902e-03,1.397538250000000121e-03,9.712100000000000203e-04,5.178300000000000481e-04
8.500000000000000888e-01,2.920779999999999991e-03,2.925153250000000083e-03,1.711489000000000066e-03,1.116380749999999972e-03,1.178711499999999992e-03,6.463852500000000570e-04
9.000000000000000222e-01,7.055405000000000704e-03,3.057044000000000081e-03,1.148345999999999959e-03,1.393291500000000014e-03,1.177447500000000039e-03,7.626539999999999795e-04
9.500000000000000666e-01,2.800815999999999809e-03,1.684833999999999854e-03,1.706132250000000046e-03,1.065552750000000031e-03,1.143138250000000009e-03,5.643334999999999324e-04
1.000000000000000000e+00,2.724187500000000046e-03,1.878424999999999973e-03,2.123047500000000039e-03,1.029704499999999946e-03,8.335337500000000559e-04,3.493924999999999722e-04
