epsilon,m_N125,m_N250,m_N500,m_N1000,m_N2000,m_N4000
4.500000000000000111e-01,9.999915000000000331e-01,9.999887499999999818e-01,9.999814999999999676e-01,9.999905000000000044e-01,9.999857500000000066e-01,9.999812500000000437e-01
4.625000000000000222e-01,9.999915000000000331e-01,9.999887499999999818e-01,9.999777499999999986e-01,9.999895000000000866e-01,9.999835000000000251e-01,9.999794999999999101e-01
4.750000000000000333e-01,9.999915000000000331e-01,9.999814999999998566e-01,9.999777499999999986e-01,9.999882499999999119e-01,9.999804999999999389e-01,9.999777499999999986e-01
4.875000000000000444e-01,9.999799999999999800e-01,9.999784999999998814e-01,9.999734999999999596e-01,9.999827500000000313e-01,9.999772500000000397e-01,9.999750000000000583e-01
5.000000000000000000e-01,9.999770000000000048e-01,9.999712499999999782e-01,9.999577500000000896e-01,9.999789999999999512e-01,9.999694999999999556e-01,9.999664999999999804e-01
5.124999999999999556e-01,9.999770000000000048e-01,9.999597499999999251e-01,9.999520000000000630e-01,9.999667500000000153e-01,9.999637500000000401e-01,9.999575000000000546e-01
5.250000000000000222e-01,9.999770000000000048e-01,9.999387500000000983e-01,9.999419999999999975e-01,9.999584999999999724e-01,9.999587500000000073e-01,9.999492500000000117e-01
5.374999999999999778e-01,9.999629999999999352e-01,9.999330000000000718e-01,9.999342500000000244e-01,9.999527500000000568e-01,9.999500000000000055e-01,9.999362499999999709e-01
5.500000000000000444e-01,9.999485000000000179e-01,9.999230000000000063e-01,9.999250000000000638e-01,9.999410000000000798e-01,9.999309999999999032e-01,9.999235000000000761e-01
5.625000000000000000e-01,9.999342500000000244e-01,9.999154999999999571e-01,9.999022500000001035e-01,9.999217499999999426e-01,9.999167500000000208e-01,9.999074999999999491e-01
5.749999999999999556e-01,9.998914999999999331e-01,9.998869999999999703e-01,9.998795000000000321e-01,9.999004999999999699e-01,9.998934999999999906e-01,9.998885000000000689e-01
5.875000000000000222e-01,9.998772500000000507e-01,9.998815000000000897e-01,9.998502500000000515e-01,9.998732500000000467e-01,9.998682500000000140e-01,4.488608324999999732e-01
6.000000000000000888e-01,9.998200000000000420e-01,9.998469999999999303e-01,9.997942499999999955e-01,9.998397500000000271e-01,5.577485000000000082e-03,5.860522499999999690e-03
6.125000000000000444e-01,9.997944999999999194e-01,9.997957499999999831e-01,9.359292500000000459e-01,2.817278899999999808e-01,4.277917499999999741e-03,3.712372499999999978e-03
6.250000000000000000e-01,9.997487499999999638e-01,9.997442500000000010e-01,8.067617500000000552e-01,4.757810000000000338e-03,4.554354999999999515e-03,2.313097499999999807e-03
6.374999999999999556e-01,9.997142500000000265e-01,9.996884999999999799e-01,3.939377499999999720e-03,2.514417500000000298e-03,4.379604999999999956e-03,2.945462499999999990e-03
6.500000000000000222e-01,9.996315000000000062e-01,9.982172500000000559e-01,6.239527500000000525e-03,4.470428999999999722e-03,1.963435000000000354e-03,1.870172500000000194e-03
6.625000000000000888e-01,9.994457500000000216e-01,6.927476250000000890e-01,5.273837499999999706e-03,2.880939250000000198e-03,1.918304999999999923e-03,1.767546750000000087e-03
6.750000000000000444e-01,9.993315000000000392e-01,1.746410525000000047e-01,3.289915749999999632e-03,3.323020000000000314e-03,1.826673750000000051e-03,1.925320500000000067e-03
6.875000000000000000e-01,7.731363499999999167e-01,4.370739999999999695e-03,2.022037499999999703e-03,3.352162499999999847e-03,1.378222499999999864e-03,1.190395000000000125e-03
6.999999999999999556e-01,7.322373249999999389e-01,5.114502499999999674e-03,2.612734999999999710e-03,1.774465250000000112e-03,3.726095000000000015e-03,1.001378000000000034e-03
7.125000000000000222e-01,3.382299724999999757e-01,6.572922499999999876e-03,2.950472499999999727e-03,3.082544999999999903e-03,2.296316500000000239e-03,1.006556249999999899e-03
7.250000000000000888e-01,7.261092499999999977e-03,2.296852500000000005e-03,3.639804999999999863e-03,1.751240250000000130e-03,1.840661500000000117e-03,1.194419999999999857e-03
7.375000000000000444e-01,7.916170000000000151e-03,3.181922499999999959e-03,1.965028499999999911e-03,1.767235250000000115e-03,1.518536999999999925e-03,1.419435000000000141e-03
7.500000000000000000e-01,7.062109999999999915e-03,3.973850000000000125e-03,2.434730999999999874e-03,1.203751250000000168e-03,1.377842499999999953e-03,8.943110000000000642e-04
7.624999999999999556e-01,4.101457499999999930e-03,3.218280000000000012e-03,2.223607500000000011e-03,2.281257249999999945e-03,1.203663250000000084e-03,1.192396749999999903e-03
7.750000000000000222e-01,6.356225000000000069e-03,4.008814999999999774e-03,2.436134999999999863e-03,2.269177499999999997e-03,1.899792500000000144e-03,1.706735000000000023e-03
7.875000000000000888e-01,4.330674999999999976e-03,4.822357250000000074e-03,2.284089999999999905e-03,1.813959999999999878e-03,1.533521750000000185e-03,6.797010000000000031e-04
8.000000000000000444e-01,4.725217500000000043e-03,3.791842500000000300e-03,3.008789999999999902e-03,1.397538250000000121e-03,9.712100000000000203e-04,5.178300000000000481e-04
