T,k,eps_c_mc,eps_c_mc_std,eps_c_hmf
2.999999999999999889e-01,8.000000000000000000e+00,5.214571097086377893e-01,6.413257277533202481e-03,6.950450504696080722e-01
2.999999999999999889e-01,2.000000000000000000e+01,6.478874227548260256e-01,2.290244532540747918e-02,6.550027571861577469e-01
2.999999999999999889e-01,4.000000000000000000e+01,7.251468176995553572e-01,2.159161352177573173e-05,6.650027852431558140e-01
5.000000000000000000e-01,8.000000000000000000e+00,4.775665411501383573e-01,3.612423964980109731e-03,6.449767606292267086e-01
5.000000000000000000e-01,2.000000000000000000e+01,6.251486805314132589e-01,3.555383776166141761e-05,6.850026290289426001e-01
5.000000000000000000e-01,4.000000000000000000e+01,7.250947153724787153e-01,2.218165903377184998e-05,6.550027711111752193e-01
6.500000000000000222e-01,8.000000000000000000e+00,4.747665238240101893e-01,1.457482866112151090e-04,6.049482155667338379e-01
6.500000000000000222e-01,2.000000000000000000e+01,6.251518259382812248e-01,1.179985684975048300e-05,7.050019049046329922e-01
6.500000000000000222e-01,4.000000000000000000e+01,7.136374148216093616e-01,1.982109477566972033e-02,6.550027486560315859e-01
8.000000000000000444e-01,8.000000000000000000e+00,4.283254652390873218e-01,3.712336550129712292e-03,5.649112980270645235e-01
8.000000000000000444e-01,2.000000000000000000e+01,6.250912432622428572e-01,5.117799175056104348e-05,6.850109729613216292e-01
8.000000000000000444e-01,4.000000000000000000e+01,7.134933592652827894e-01,1.192504598016157907e-02,6.850026485117194364e-01
1.000000000000000000e+00,8.000000000000000000e+00,3.902601831590620796e-01,1.728457139604190618e-02,5.048623029380641114e-01
1.000000000000000000e+00,2.000000000000000000e+01,6.161261737849059728e-01,4.508536633157876443e-03,6.351955275537797263e-01
1.000000000000000000e+00,4.000000000000000000e+01,7.045174108877121366e-01,1.526466561848122301e-02,6.850026290289426001e-01
1.300000000000000044e+00,8.000000000000000000e+00,3.242873921487420819e-01,6.872956752030335518e-04,4.246503736611725865e-01
1.300000000000000044e+00,2.000000000000000000e+01,5.750953101494119535e-01,1.028201435441475104e-04,6.349749181380436314e-01
1.300000000000000044e+00,4.000000000000000000e+01,6.984158840075083141e-01,2.341526847372748035e-02,7.050019049046329922e-01
