epsilon,m_T30_k8,m_T30_k20,m_T30_k40,m_T50_k8,m_T50_k20,m_T50_k40,m_T65_k8,m_T65_k20,m_T65_k40,m_T80_k8,m_T80_k20,m_T80_k40,m_T100_k8,m_T100_k20,m_T100_k40,m_T130_k8,m_T130_k20,m_T130_k40
0.000000000000000000e+00,9.998664999999999914e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.989099999999999646e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.969887499999999791e-01,9.999964999999999549e-01,1.000000000000000000e+00,9.936244999999999106e-01,9.999957499999999611e-01,1.000000000000000000e+00,9.858949999999999658e-01,9.999765000000000459e-01,1.000000000000000000e+00,9.652182499999999443e-01,9.998947499999999433e-01,1.000000000000000000e+00
5.000000000000000278e-02,9.998547500000000143e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.988520000000000731e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.969185000000000407e-01,9.999957499999999611e-01,1.000000000000000000e+00,9.934182499999999472e-01,9.999957499999999611e-01,1.000000000000000000e+00,9.855162499999999826e-01,9.999757500000000521e-01,1.000000000000000000e+00,9.648950000000000582e-01,9.998812500000000547e-01,1.000000000000000000e+00
1.000000000000000056e-01,9.998577499999999896e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.987637499999999502e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.966355000000000075e-01,9.999992500000000062e-01,1.000000000000000000e+00,9.928737499999999994e-01,9.999977500000000186e-01,1.000000000000000000e+00,9.845205000000001316e-01,9.999784999999999924e-01,1.000000000000000000e+00,9.624817500000000248e-01,9.998839999999999950e-01,1.000000000000000000e+00
1.500000000000000222e-01,9.998314999999999841e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.985877499999999962e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.961955000000000116e-01,9.999992500000000062e-01,1.000000000000000000e+00,9.920317499999999900e-01,9.999879999999999880e-01,1.000000000000000000e+00,9.828397499999999010e-01,9.999649999999999928e-01,1.000000000000000000e+00,9.582567499999998795e-01,9.998477500000000351e-01,1.000000000000000000e+00
2.000000000000000111e-01,9.997927500000000078e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.983614999999999018e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.955715000000000536e-01,9.999992500000000062e-01,1.000000000000000000e+00,9.907827500000000454e-01,9.999945000000000084e-01,1.000000000000000000e+00,9.798544999999999616e-01,9.999684999999999269e-01,1.000000000000000000e+00,9.513360000000000705e-01,9.997707500000000413e-01,1.000000000000000000e+00
2.500000000000000000e-01,9.997039999999999260e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.980210000000000470e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.946637500000000687e-01,9.999977500000000186e-01,1.000000000000000000e+00,9.887192499999999384e-01,9.999934999999999796e-01,1.000000000000000000e+00,9.756794999999999218e-01,9.999512499999999582e-01,1.000000000000000000e+00,9.394884999999999486e-01,9.997022500000001255e-01,1.000000000000000000e+00
3.000000000000000444e-01,9.996369999999998868e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.974375000000000879e-01,9.999992500000000062e-01,1.000000000000000000e+00,9.933204999999999396e-01,9.999972500000000597e-01,1.000000000000000000e+00,9.857914999999999317e-01,9.999884999999999469e-01,1.000000000000000000e+00,9.688002500000000294e-01,9.999284999999999979e-01,1.000000000000000000e+00,9.158062499999999329e-01,9.995999999999999330e-01,1.000000000000000000e+00
3.500000000000000333e-01,9.994717499999999921e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.965435000000000265e-01,9.999992500000000062e-01,1.000000000000000000e+00,9.911017499999998925e-01,9.999949999999999672e-01,1.000000000000000000e+00,9.810014999999999707e-01,9.999777499999999986e-01,1.000000000000000000e+00,9.563920000000000199e-01,9.998734999999998596e-01,1.000000000000000000e+00,5.934492499999999976e-02,9.993837500000000151e-01,1.000000000000000000e+00
4.000000000000000222e-01,9.992287499999999989e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.951107500000000439e-01,9.999992500000000062e-01,1.000000000000000000e+00,9.874794999999999545e-01,9.999934999999999796e-01,1.000000000000000000e+00,9.721772499999998818e-01,9.999520000000000630e-01,1.000000000000000000e+00,3.365948999999999747e-01,9.997742499999999755e-01,1.000000000000000000e+00,8.630485000000000240e-03,9.990129999999999288e-01,1.000000000000000000e+00
4.500000000000000111e-01,9.988150000000000084e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.925859999999999683e-01,9.999977500000000186e-01,1.000000000000000000e+00,9.797977499999999118e-01,9.999814999999999676e-01,1.000000000000000000e+00,1.243071000000000037e-01,9.999242499999999589e-01,1.000000000000000000e+00,1.182173249999999946e-02,9.996472499999999872e-01,1.000000000000000000e+00,5.029250000000000734e-03,9.984825000000000506e-01,1.000000000000000000e+00
5.000000000000000000e-01,9.051715000000000177e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.559237500000001220e-02,9.999949999999999672e-01,1.000000000000000000e+00,1.117295499999999830e-02,9.999577500000000896e-01,1.000000000000000000e+00,4.476044999999999677e-03,9.998307499999999903e-01,1.000000000000000000e+00,7.794875000000000588e-03,9.993832500000000563e-01,1.000000000000000000e+00,4.306475000000000580e-03,9.974117499999999303e-01,9.999985000000000124e-01
5.500000000000000444e-01,8.478292499999999857e-03,1.000000000000000000e+00,1.000000000000000000e+00,5.237252500000000137e-03,9.999929999999999097e-01,1.000000000000000000e+00,3.160987500000000255e-03,9.999250000000000638e-01,1.000000000000000000e+00,4.096985000000000036e-03,9.996785000000000254e-01,1.000000000000000000e+00,3.964515000000000053e-03,9.988902499999999796e-01,1.000000000000000000e+00,3.821552500000000366e-03,9.954420000000001600e-01,9.999934999999999796e-01
