epsilon,z,spread,p_value,coalesced
2.999999999999999889e-01,2.500000000000000139e-02,1.249189109093750000e-01,1.724999999999999867e-01,0.000000000000000000e+00
2.999999999999999889e-01,5.000000000000000278e-02,3.120843473750000568e-02,6.590000000000000302e-01,0.000000000000000000e+00
2.999999999999999889e-01,7.500000000000001110e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.999999999999999889e-01,1.000000000000000056e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.999999999999999889e-01,1.250000000000000000e-01,3.110297468749999641e-02,1.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-01,1.499999999999999944e-01,6.226631125000000461e-02,3.980000000000000204e-01,0.000000000000000000e+00
2.999999999999999889e-01,1.750000000000000167e-01,1.865470671874999986e-01,5.449999999999999983e-02,0.000000000000000000e+00
2.999999999999999889e-01,2.000000000000000111e-01,1.858275303125000444e-01,2.200000000000000011e-01,0.000000000000000000e+00
9.000000000000000222e-01,2.500000000000000139e-02,4.849687500000365858e-04,1.799999999999999864e-02,0.000000000000000000e+00
9.000000000000000222e-01,5.000000000000000278e-02,1.978437499999818883e-04,5.130000000000000115e-01,0.000000000000000000e+00
9.000000000000000222e-01,7.500000000000001110e-02,1.955624999999683311e-04,5.214999999999999636e-01,0.000000000000000000e+00
9.000000000000000222e-01,1.000000000000000056e-01,1.292187499999930544e-04,6.594999999999999751e-01,0.000000000000000000e+00
9.000000000000000222e-01,1.250000000000000000e-01,6.534375000000203215e-05,9.340000000000000524e-01,0.000000000000000000e+00
9.000000000000000222e-01,1.499999999999999944e-01,2.012499999999861622e-04,5.400000000000000355e-01,0.000000000000000000e+00
9.000000000000000222e-01,1.750000000000000167e-01,1.236874999999693081e-04,7.520000000000000018e-01,0.000000000000000000e+00
9.000000000000000222e-01,2.000000000000000111e-01,2.726875000000072991e-04,2.520000000000000018e-01,0.000000000000000000e+00
