epsilon,zealot_strategy,z,conversion,conversion_sd,m_psi,m_psi_sd,rho_beater
2.999999999999999889e-01,0.000000000000000000e+00,2.500000000000000139e-02,1.882334887093750075e-01,3.892508100723248154e-01,9.668041874999999674e-01,1.501558938328242075e-02,5.784226410812500774e-01
2.999999999999999889e-01,0.000000000000000000e+00,5.000000000000000278e-02,3.268239484375000392e-02,1.735909289596482552e-01,9.246945312500000069e-01,1.409476513857266418e-02,8.300692217187499722e-01
2.999999999999999889e-01,0.000000000000000000e+00,7.500000000000001110e-02,5.359959999999999551e-04,2.809894556888434193e-04,8.874039999999999706e-01,6.432804112515876690e-04,9.233759999999999746e-01
2.999999999999999889e-01,0.000000000000000000e+00,1.000000000000000056e-01,9.978094374999998788e-04,5.726495961260329214e-04,8.513515312499999599e-01,8.959182086124956555e-04,8.979706875000000865e-01
2.999999999999999889e-01,0.000000000000000000e+00,1.250000000000000000e-01,1.618197093749999989e-03,9.278270631481642071e-04,8.159637500000000987e-01,1.330909651328746708e-03,8.724764999999999882e-01
2.999999999999999889e-01,0.000000000000000000e+00,1.499999999999999944e-01,6.499040121875000742e-02,2.411145131586021062e-01,7.945535937499998980e-01,5.267884392468393656e-02,7.937452053437500377e-01
2.999999999999999889e-01,0.000000000000000000e+00,1.750000000000000167e-01,1.907304187499999915e-01,3.881136658100508563e-01,7.938381875000000143e-01,9.824722216602280178e-02,6.668002843124999357e-01
2.999999999999999889e-01,0.000000000000000000e+00,2.000000000000000111e-01,2.856105137499999613e-01,4.460657202631005402e-01,7.932088750000000354e-01,1.283870870784300233e-01,5.707727845312500214e-01
2.999999999999999889e-01,1.000000000000000000e+00,2.500000000000000139e-02,6.370462611874999626e-02,2.414468300384572108e-01,9.618745937499999510e-01,9.619354655651855823e-03,6.390434255749999348e-01
2.999999999999999889e-01,1.000000000000000000e+00,5.000000000000000278e-02,3.177591062499999369e-02,1.737195824539471134e-01,9.258172500000000360e-01,1.318153486889899091e-02,8.892837797656250043e-01
2.999999999999999889e-01,1.000000000000000000e+00,7.500000000000001110e-02,5.359959999999999551e-04,2.809894556888434193e-04,8.874039999999999706e-01,6.432804112515876690e-04,9.233759999999999746e-01
2.999999999999999889e-01,1.000000000000000000e+00,1.000000000000000056e-01,9.978094374999998788e-04,5.726495961260329214e-04,8.513515312499999599e-01,8.959182086124956555e-04,8.979706875000000865e-01
2.999999999999999889e-01,1.000000000000000000e+00,1.250000000000000000e-01,1.618197093749999989e-03,9.278270631481642071e-04,8.159637500000000987e-01,1.330909651328746708e-03,8.724764999999999882e-01
2.999999999999999889e-01,1.000000000000000000e+00,1.499999999999999944e-01,2.724089968750000208e-03,1.281583571842138947e-03,7.809819999999999540e-01,1.618316833935803944e-03,8.466128437500000103e-01
2.999999999999999889e-01,1.000000000000000000e+00,1.750000000000000167e-01,4.183351562499999787e-03,1.482367954686667454e-03,7.467290312500000082e-01,1.736816870822430409e-03,8.205012812499999919e-01
2.999999999999999889e-01,1.000000000000000000e+00,2.000000000000000111e-01,1.303855334374999786e-01,3.281956008969040273e-01,7.487865624999998637e-01,9.437940738017797093e-02,6.947971474062499819e-01
2.999999999999999889e-01,2.000000000000000000e+00,2.500000000000000139e-02,6.331457780000000757e-02,2.414696324389434545e-01,9.622391875000000372e-01,9.351630945447097013e-03,7.303356383999999313e-01
2.999999999999999889e-01,2.000000000000000000e+00,5.000000000000000278e-02,1.473960106249999971e-03,3.612653088419067165e-03,9.223289687500000333e-01,4.525367046469648200e-03,8.596080223249999985e-01
2.999999999999999889e-01,2.000000000000000000e+00,7.500000000000001110e-02,5.359959999999999551e-04,2.809894556888434193e-04,8.874039999999999706e-01,6.432804112515876690e-04,9.233759999999999746e-01
2.999999999999999889e-01,2.000000000000000000e+00,1.000000000000000056e-01,9.978094374999998788e-04,5.726495961260329214e-04,8.513515312499999599e-01,8.959182086124956555e-04,8.979706875000000865e-01
2.999999999999999889e-01,2.000000000000000000e+00,1.250000000000000000e-01,3.272117178124999554e-02,1.733390938028922523e-01,8.216898437499999819e-01,3.153734078448650058e-02,8.453082768749999865e-01
2.999999999999999889e-01,2.000000000000000000e+00,1.499999999999999944e-01,6.484685809375000110e-02,2.409385190627843509e-01,7.946504374999999731e-01,5.237940489587576687e-02,7.938932215625000843e-01
