t_order,conversion_order_z0p000,psi_mag_order_z0p000,conversion_order_z0p013,psi_mag_order_z0p013,conversion_order_z0p025,psi_mag_order_z0p025,conversion_order_z0p038,psi_mag_order_z0p038,conversion_order_z0p050,psi_mag_order_z0p050,conversion_order_z0p062,psi_mag_order_z0p062,conversion_order_z0p075,psi_mag_order_z0p075,conversion_order_z0p088,psi_mag_order_z0p088,conversion_order_z0p100,psi_mag_order_z0p100,conversion_order_z0p113,psi_mag_order_z0p113,conversion_order_z0p125,psi_mag_order_z0p125,conversion_order_z0p138,psi_mag_order_z0p138,conversion_order_z0p150,psi_mag_order_z0p150,conversion_order_z0p163,psi_mag_order_z0p163,conversion_order_z0p175,psi_mag_order_z0p175,conversion_order_z0p188,psi_mag_order_z0p188,conversion_order_z0p200,psi_mag_order_z0p200,t_cycle,conversion_cycle_z0p000,psi_mag_cycle_z0p000,conversion_cycle_z0p013,psi_mag_cycle_z0p013,conversion_cycle_z0p025,psi_mag_cycle_z0p025,conversion_cycle_z0p038,psi_mag_cycle_z0p038,conversion_cycle_z0p050,psi_mag_cycle_z0p050,conversion_cycle_z0p062,psi_mag_cycle_z0p062,conversion_cycle_z0p075,psi_mag_cycle_z0p075,conversion_cycle_z0p088,psi_mag_cycle_z0p088,conversion_cycle_z0p100,psi_mag_cycle_z0p100,conversion_cycle_z0p113,psi_mag_cycle_z0p113,conversion_cycle_z0p125,psi_mag_cycle_z0p125,conversion_cycle_z0p138,psi_mag_cycle_z0p138,conversion_cycle_z0p150,psi_mag_cycle_z0p150,conversion_cycle_z0p163,psi_mag_cycle_z0p163,conversion_cycle_z0p175,psi_mag_cycle_z0p175,conversion_cycle_z0p188,psi_mag_cycle_z0p188,conversion_cycle_z0p200,psi_mag_cycle_z0p200
0.000000000000000000e+00,3.087500000000000244e-01,6.460214779711261068e-02,3.075949367088607334e-01,5.696764432552919172e-02,3.064102564102563764e-01,5.287071495639134033e-02,3.038961038961038863e-01,5.220153254455267566e-02,3.065789473684210620e-01,5.224641136001580144e-02,3.093333333333332935e-01,5.379358697837487852e-02,3.121621621621621379e-01,6.674344537106234598e-02,3.136986301369862895e-01,7.914583059138355359e-02,3.138888888888888284e-01,9.021675287883053340e-02,3.140845070422535468e-01,9.855994368910715731e-02,3.142857142857143349e-01,1.081304189393529763e-01,3.130434782608694788e-01,1.201821534172189676e-01,3.132352941176470562e-01,1.320570425990222618e-01,3.149253731343283902e-01,1.450161628922789214e-01,3.166666666666666519e-01,1.579804180903442157e-01,3.169230769230769185e-01,1.710445848309730954e-01,3.171874999999999556e-01,1.841237695138787656e-01,0.000000000000000000e+00,3.087500000000000244e-01,6.460214779711261068e-02,3.075949367088607334e-01,5.696764432552919172e-02,3.064102564102563764e-01,5.287071495639134033e-02,3.038961038961038863e-01,5.220153254455267566e-02,3.065789473684210620e-01,5.224641136001580144e-02,3.093333333333332935e-01,5.379358697837487852e-02,3.121621621621621379e-01,6.674344537106234598e-02,3.136986301369862895e-01,7.914583059138355359e-02,3.138888888888888284e-01,9.021675287883053340e-02,3.140845070422535468e-01,9.855994368910715731e-02,3.142857142857143349e-01,1.081304189393529763e-01,3.130434782608694788e-01,1.201821534172189676e-01,3.132352941176470562e-01,1.320570425990222618e-01,3.149253731343283902e-01,1.450161628922789214e-01,3.166666666666666519e-01,1.579804180903442157e-01,3.169230769230769185e-01,1.710445848309730954e-01,3.171874999999999556e-01,1.841237695138787656e-01
1.000000000000000000e+00,3.175000000000000044e-01,3.213740033045611733e-02,2.645569620253164222e-01,9.625000000000001610e-02,2.807692307692307709e-01,9.453008780277308287e-02,2.792207792207792583e-01,5.269309727089496742e-02,3.131578947368420796e-01,2.384848003542353392e-02,3.186666666666667092e-01,4.255511132637299077e-02,3.554054054054053835e-01,1.145712114800223197e-01,3.479452054794520688e-01,1.620378042309880973e-01,3.916666666666667185e-01,1.925000000000000322e-01,4.028169014084507227e-01,2.200958597974981834e-01,4.114285714285714213e-01,2.378155798092294604e-01,4.028985507246376496e-01,2.371938816664544147e-01,4.044117647058823595e-01,2.591964747059651852e-01,4.179104477611940149e-01,2.975630185355700452e-01,4.212121212121211489e-01,3.129796319251462178e-01,4.338461538461538813e-01,3.320838561267320244e-01,4.265624999999999556e-01,3.399655313410464563e-01,1.000000000000000000e+00,3.337499999999999911e-01,2.707050978463449581e-02,3.139240506329114000e-01,5.859020822628974862e-02,3.358974358974358698e-01,6.709368450159806929e-02,2.922077922077921941e-01,3.154857366030990040e-02,3.315789473684210842e-01,6.144102863722257502e-02,3.426666666666666194e-01,1.032972047056453513e-01,3.175675675675675436e-01,7.507288125548404467e-02,3.027397260273972379e-01,1.007704693846367960e-01,3.388888888888889617e-01,1.450807964549410134e-01,3.295774647887324549e-01,1.556639007605810365e-01,3.357142857142857428e-01,1.629465019569306672e-01,3.478260869565217295e-01,1.900863290718194099e-01,3.411764705882353033e-01,2.102491082026271829e-01,3.238805970149253310e-01,2.191139828947482049e-01,3.166666666666666519e-01,2.248367463294201896e-01,3.415384615384615685e-01,2.598557292037257382e-01,3.343749999999999778e-01,2.558930440633352399e-01
2.000000000000000000e+00,2.962500000000000133e-01,8.469614808242456605e-02,2.329113924050632556e-01,1.614436821309524761e-01,2.743589743589743279e-01,2.021911224559574394e-01,2.974025974025973906e-01,4.255511132637290750e-02,3.250000000000000666e-01,3.826306966253489178e-02,3.693333333333333468e-01,1.193013516268780910e-01,3.810810810810810190e-01,2.152179128232592498e-01,3.410958904109588907e-01,2.545799235996429322e-01,4.124999999999999778e-01,2.733158658036522470e-01,4.028169014084507227e-01,2.873450669491299792e-01,4.228571428571428759e-01,3.250865269432124949e-01,4.188405797101449335e-01,3.300165715536116373e-01,4.220588235294117641e-01,3.659939377913247194e-01,4.373134328358209699e-01,3.783620124959693465e-01,4.303030303030302983e-01,3.860274439725757123e-01,4.415384615384615463e-01,3.964628765723218207e-01,4.546874999999999112e-01,4.178983877690845006e-01,2.000000000000000000e+00,3.687500000000000222e-01,5.366271983416415897e-02,3.658227848101265889e-01,6.223694642252294157e-02,3.653846153846153633e-01,7.680128579652810428e-02,3.246753246753246724e-01,2.724311839712919431e-02,2.842105263157895245e-01,9.733961166965905687e-02,2.866666666666666807e-01,1.223659981367374305e-01,2.594594594594594184e-01,9.500000000000015377e-02,2.561643835616437825e-01,1.172404047246512204e-01,2.819444444444444975e-01,9.083811149512087402e-02,2.746478873239436846e-01,1.459184275545759579e-01,2.914285714285714257e-01,1.928527611936111941e-01,2.753623188405796562e-01,2.483162046665501610e-01,2.647058823529411797e-01,2.546075411294803637e-01,2.626865671641790967e-01,2.493146856885892493e-01,2.454545454545454530e-01,2.618324846156413477e-01,2.384615384615384470e-01,2.957379541080246144e-01,2.624999999999999556e-01,2.900727279493885979e-01
3.000000000000000000e+00,3.112500000000000266e-01,1.646634825940468672e-01,2.202531645569620056e-01,3.025309901481169073e-01,3.474358974358974228e-01,3.183036089961907567e-01,2.987012987012986898e-01,1.046721070772915207e-01,3.802631578947368585e-01,1.301981662697290210e-01,3.653333333333333433e-01,1.510329020445546067e-01,3.499999999999999778e-01,3.237500000000000933e-01,2.904109589041095618e-01,3.670235006099746844e-01,3.819444444444444198e-01,3.888585057575570936e-01,3.507042253521127084e-01,3.770589310704628994e-01,3.614285714285713769e-01,3.853103456955185857e-01,3.724637681159420066e-01,4.201134519388781130e-01,3.647058823529411575e-01,4.257933771208755047e-01,3.970149253731343197e-01,4.317678050758301800e-01,3.939393939393939226e-01,4.236965305498737178e-01,4.246153846153845612e-01,4.428670793816131268e-01,4.437500000000000333e-01,4.632746890344864310e-01,3.000000000000000000e+00,3.574999999999999845e-01,8.595965623477104522e-02,3.329113924050632889e-01,2.011684617428887920e-02,3.384615384615384248e-01,6.688376110835879407e-02,3.350649350649350655e-01,4.358898943540671922e-02,2.473684210526315708e-01,8.444672877027280256e-02,2.373333333333333128e-01,1.033198915988592925e-01,2.378378378378377955e-01,5.894913061275808275e-02,2.452054794520548142e-01,1.018807513713951146e-01,2.638888888888888951e-01,8.898735865278853407e-02,2.253521126760563709e-01,1.189274989226630080e-01,2.071428571428571563e-01,1.684348909816490991e-01,1.753623188405797062e-01,2.693249663510607905e-01,1.632352941176470340e-01,2.819269630595840903e-01,1.776119402985074924e-01,2.672808681892514526e-01,1.439393939393939503e-01,2.528061263102617806e-01,1.384615384615384415e-01,3.050691519967236309e-01,1.703124999999999778e-01,2.847394642475820636e-01
4.000000000000000000e+00,3.524999999999999800e-01,2.549387181265331814e-01,2.316455696202531223e-01,4.370122280897869582e-01,4.538461538461538436e-01,3.968882871791504785e-01,3.493506493506494115e-01,1.824871570823545508e-01,4.039473684210526661e-01,1.954122245408408953e-01,3.546666666666666856e-01,2.334490040672695943e-01,2.716216216216215673e-01,4.428829557569359254e-01,2.082191780821917859e-01,4.814885772269162922e-01,3.069444444444444087e-01,4.752811667844625276e-01,2.563380281690141316e-01,4.742543489521208744e-01,2.571428571428571175e-01,4.575119533957556217e-01,2.536231884057970620e-01,4.851111341744281380e-01,2.499999999999999722e-01,4.740071861269617437e-01,3.044776119402984871e-01,4.510421959196279085e-01,3.075757575757576134e-01,4.488648878003269616e-01,3.538461538461538103e-01,4.630064794363033531e-01,3.828124999999999445e-01,4.708419984453384166e-01,4.000000000000000000e+00,2.812500000000000000e-01,7.849163968219809162e-02,2.696202531645569556e-01,8.188215617581166839e-02,3.051282051282050989e-01,1.952562418976670072e-02,3.194805194805194759e-01,2.179449471770336308e-02,2.789473684210526661e-01,6.460214779711259681e-02,2.800000000000000266e-01,1.653594569415370308e-02,3.310810810810810301e-01,7.368641326594735363e-02,2.205479452054794343e-01,1.051858474320572778e-01,2.597222222222221877e-01,4.871793817476287314e-02,2.295774647887323938e-01,2.825663638864333096e-02,1.685714285714285943e-01,1.039531144314590344e-01,1.333333333333333037e-01,1.857585798825993617e-01,1.176470588235293824e-01,2.015060482963229316e-01,1.179104477611939983e-01,2.106500356040796607e-01,1.166666666666666408e-01,1.732907599960252787e-01,9.384615384615382916e-02,2.413277076922583086e-01,1.078124999999999917e-01,2.765552612047003089e-01
5.000000000000000000e+00,4.450000000000000067e-01,3.463109152192577200e-01,2.632911392405063444e-01,5.339651205837322445e-01,6.256410256410256387e-01,5.154367080447411764e-01,4.519480519480518765e-01,2.961101990813553297e-01,3.921052631578947345e-01,2.941406976261531359e-01,2.880000000000000338e-01,3.355871719836739930e-01,1.621621621621621434e-01,5.755092853290900701e-01,1.287671232876712035e-01,5.846887526710258243e-01,1.888888888888888840e-01,5.836897720536140532e-01,1.788732394366197298e-01,5.438850407025366263e-01,1.614285714285714213e-01,5.601213596177171405e-01,1.507246376811594291e-01,5.523302906775982013e-01,1.529411764705882470e-01,5.535722062206520633e-01,2.149253731343283846e-01,5.176328331935677873e-01,2.318181818181818399e-01,5.036383250905356324e-01,2.707692307692307621e-01,5.039035125894638645e-01,2.999999999999999889e-01,4.922191458080435456e-01,5.000000000000000000e+00,3.150000000000000022e-01,8.469614808242455217e-02,3.215189873417721445e-01,9.539392014169444101e-02,3.153846153846153744e-01,1.736555498681217891e-02,3.506493506493506551e-01,7.991206104212306149e-02,3.684210526315789824e-01,1.180770405286310082e-01,3.066666666666666430e-01,3.605551275463992483e-02,3.648648648648648019e-01,1.508931741332258381e-01,2.027397260273972601e-01,9.615254806816095345e-02,2.638888888888888951e-01,6.614378277661468221e-03,2.915492957746479430e-01,5.713197441013211780e-02,2.557142857142857273e-01,2.315032397181511145e-02,1.797101449275362028e-01,6.571719714047469241e-02,1.735294117647058487e-01,5.414101956926933856e-02,1.656716417910447936e-01,5.233605353864591997e-02,1.969696969696969890e-01,7.603453162872786386e-02,1.323076923076922928e-01,9.685685313905276206e-02,1.218749999999999695e-01,1.792867814424700668e-01
6.000000000000000000e+00,5.787499999999999867e-01,4.462464985857030331e-01,3.113924050632911333e-01,5.481260689841340739e-01,7.525641025641025550e-01,6.441212521722907702e-01,5.974025974025974906e-01,4.377998972133273492e-01,3.184210526315789380e-01,3.972483480141862366e-01,1.813333333333333464e-01,4.812159078833533887e-01,8.378378378378376068e-02,6.779979719733680854e-01,5.890410958904107597e-02,6.996885467834955685e-01,8.611111111111109662e-02,6.882632127318734083e-01,8.732394366197183955e-02,6.411744594882113901e-01,9.999999999999999167e-02,6.265131682574597294e-01,9.999999999999999167e-02,6.228851720020311955e-01,8.088235294117644691e-02,6.269880880048680494e-01,1.537313432835820948e-01,5.825844895806959745e-01,1.499999999999999944e-01,5.642237477277964874e-01,1.784615384615384770e-01,5.542576679668040907e-01,2.140625000000000167e-01,5.302520037680198417e-01,6.000000000000000000e+00,3.699999999999999956e-01,7.275816105427612701e-02,3.898734177215189556e-01,1.185920001517807992e-01,3.692307692307692513e-01,7.762087348130006226e-02,3.207792207792207195e-01,1.409842633062286799e-01,4.065789473684210953e-01,1.632339195755588279e-01,3.133333333333333526e-01,7.444586959664052650e-02,2.824324324324323787e-01,1.830001707649477338e-01,3.095890410958904160e-01,9.539392014169437162e-02,2.597222222222221877e-01,6.603739470936161038e-02,3.197183098591549477e-01,1.062058731897629338e-01,2.857142857142856984e-01,7.043392293490399747e-02,2.391304347826086751e-01,2.253469547164983419e-02,2.735294117647058543e-01,8.242420760917271161e-02,2.492537313432836021e-01,5.688530126491374989e-02,2.469696969696969224e-01,1.010955612279787752e-01,1.984615384615384670e-01,2.955397604384224150e-02,1.531249999999999833e-01,6.485560885536431619e-02
7.000000000000000000e+00,7.087499999999999911e-01,5.796645042608696841e-01,3.620253164556961889e-01,5.246710278831867580e-01,8.435897435897435903e-01,7.712773495961100512e-01,7.311688311688311348e-01,6.122205995390875843e-01,2.026315789473684403e-01,5.162681594869085178e-01,8.533333333333331661e-02,6.218872486230925256e-01,4.864864864864863053e-02,7.396451852070692334e-01,3.150684931506848863e-02,7.606319330004492896e-01,5.277777777777776375e-02,7.467941901889703082e-01,3.802816901408449801e-02,7.184956071542817346e-01,4.571428571428572118e-02,6.928383649885447859e-01,5.072463768115939575e-02,6.894370438988609573e-01,4.852941176470586260e-02,6.681820017779587229e-01,9.253731343283580490e-02,6.327259971741321376e-01,9.999999999999999167e-02,6.104148179721722300e-01,1.246153846153846279e-01,5.959092317626905055e-01,1.499999999999999944e-01,5.740903130170375013e-01,7.000000000000000000e+00,3.474999999999999756e-01,2.384848003542360678e-02,3.708860759493670112e-01,9.191538228174866987e-02,3.333333333333333148e-01,5.000000000000005135e-02,2.337662337662337608e-01,1.441570324333850406e-01,3.184210526315789380e-01,1.649052758404048746e-01,2.613333333333333064e-01,7.378177281686867928e-02,2.256756756756756466e-01,1.563099884844216803e-01,3.712328767123287965e-01,1.444331592813783149e-01,2.694444444444444864e-01,5.584576975922177916e-02,3.056338028169013898e-01,1.383327058218699612e-01,2.757142857142857451e-01,1.063381986870194224e-01,3.188405797101449002e-01,1.256731872755680046e-01,3.132352941176470562e-01,1.775132037342575519e-01,2.999999999999999334e-01,1.845306546349413934e-01,2.878787878787878451e-01,1.891469336256869360e-01,2.907692307692307798e-01,1.472614596559466693e-01,2.281249999999999944e-01,7.628073151196176904e-02
8.000000000000000000e+00,8.012500000000000178e-01,7.040430118252719582e-01,4.316455696202531334e-01,4.967409410346602661e-01,9.128205128205129082e-01,8.728249752957348839e-01,8.077922077922077282e-01,7.248609780502740518e-01,1.065789473684210509e-01,6.481692969433219265e-01,3.466666666666666508e-02,6.889167221079773862e-01,1.756756756756755120e-02,7.908569323841070364e-01,1.506849315068493032e-02,7.996395672426420687e-01,2.638888888888888187e-02,7.835506125962763413e-01,1.971830985915493106e-02,7.550031042982539020e-01,2.428571428571427507e-02,7.344715362081774002e-01,2.608695652173911861e-02,7.399999999999999911e-01,2.499999999999999098e-02,7.006325267213904251e-01,6.119402985074625517e-02,6.748761460445908966e-01,6.060606060606059386e-02,6.611401137429191444e-01,7.230769230769230893e-02,6.360141999200961127e-01,9.218749999999997780e-02,6.138416428526171087e-01,8.000000000000000000e+00,3.337499999999999911e-01,1.192424001771192829e-02,3.063291139240506000e-01,1.201041214946431818e-01,2.717948717948717730e-01,9.500000000000013989e-02,2.207792207792207695e-01,1.584840291638246190e-01,2.065789473684210287e-01,1.880782749282863264e-01,2.493333333333333512e-01,5.563553271066977446e-02,1.972972972972972805e-01,1.162163929916946309e-01,3.301369863013698391e-01,1.551360290196961422e-01,3.111111111111111160e-01,8.466847110938051368e-02,2.746478873239436846e-01,1.501301518683040293e-01,2.614285714285714546e-01,1.514358362475673181e-01,3.159420289855071617e-01,1.919757471661459880e-01,2.558823529411764497e-01,2.119699271123147710e-01,2.432835820895522527e-01,2.527690398367649083e-01,2.469696969696969224e-01,2.218142522472350830e-01,3.138461538461538303e-01,2.275824026589051419e-01,2.890625000000000000e-01,1.911437613420851889e-01
9.000000000000000000e+00,8.687500000000000222e-01,8.032132733589505413e-01,5.303797468354430888e-01,4.919333669309287616e-01,9.423076923076922906e-01,9.159071664202653729e-01,8.623376623376624028e-01,8.048252916006057855e-01,4.342105263157894357e-02,7.640568123510188547e-01,1.199999999999999505e-02,7.489503070965389808e-01,5.405405405405395297e-03,8.322672347269235438e-01,1.095890410958903598e-02,8.225683862147876724e-01,1.249999999999999549e-02,8.050320257604660634e-01,8.450704225352104887e-03,7.887915995369118027e-01,1.428571428571429915e-02,7.585059327388283812e-01,1.304347826086954369e-02,7.571667996551353363e-01,1.764705882352939417e-02,7.292676120602094025e-01,3.880597014925372956e-02,7.025133450689744485e-01,3.787878787878784514e-02,6.841886161724703985e-01,4.153846153846153799e-02,6.677820097157453061e-01,6.093749999999998473e-02,6.331333291653503670e-01,9.000000000000000000e+00,3.125000000000000000e-01,3.191786333700933481e-02,2.531645569620252778e-01,1.068000468164691935e-01,2.705128205128204955e-01,6.695380870421047126e-02,3.480519480519480013e-01,1.269904031807126410e-01,1.986842105263157687e-01,1.530369644889757186e-01,3.093333333333332935e-01,7.301540933255104560e-02,2.783783783783783661e-01,8.877640452282341277e-02,2.575342465753424626e-01,1.869032169332567606e-01,2.736111111111110827e-01,1.324115270661887778e-01,2.366197183098592005e-01,1.223276849286375756e-01,2.157142857142856918e-01,1.596920865290450964e-01,2.492753623188405376e-01,2.184068737471420163e-01,1.882352941176470285e-01,2.235928218883603547e-01,1.731343283582089387e-01,2.819685266124573042e-01,1.984848484848484584e-01,1.982698602914725328e-01,2.338461538461538425e-01,2.996977644227598603e-01,2.671874999999999667e-01,2.698639703628478714e-01
