z,order_conversion,order_mpsi,cycle_conversion,cycle_mpsi
0.000000000000000000e+00,5.830386550166666293e-01,9.979883333333333661e-01,3.330985000000000196e-01,1.163328583333333392e-03
1.250000000000000069e-02,3.337126941333333208e-01,9.850253333333333083e-01,3.263069166666667242e-01,9.264546666666666555e-03
2.500000000000000139e-02,2.510732941916666294e-01,9.685873333333333557e-01,3.191076666666667339e-01,1.948811666666666609e-02
3.750000000000000555e-02,1.677231120083333138e-01,9.500572499999999643e-01,3.113185833333333430e-01,2.913128333333333750e-02
5.000000000000000278e-02,1.217833083333333269e-03,9.226362499999999356e-01,3.033027500000000098e-01,3.911719999999999781e-02
6.250000000000000000e-02,1.638939333333333656e-03,9.039562499999999057e-01,2.940908333333333569e-01,4.955780000000000601e-02
7.500000000000001110e-02,5.037536666666667627e-04,8.873839999999999506e-01,2.846894999999999842e-01,5.999818333333332282e-02
8.750000000000000833e-02,8.021308333333335107e-04,8.691734166666668093e-01,2.755053333333333243e-01,7.060524999999999440e-02
1.000000000000000056e-01,1.156084916666666549e-03,8.510989166666665939e-01,2.655236666666666578e-01,8.108315833333333555e-02
1.125000000000000028e-01,1.444221666666666406e-03,8.333100000000001062e-01,2.550857499999999445e-01,9.150911666666665389e-02
1.250000000000000000e-01,1.733446083333333538e-03,8.157679166666667037e-01,2.443055833333333260e-01,1.015375000000000028e-01
1.375000000000000111e-01,2.242580833333332989e-03,7.982034166666666097e-01,2.337640000000000551e-01,1.131000833333333233e-01
1.500000000000000222e-01,2.897643333333332818e-03,7.807653333333334222e-01,2.219912500000000011e-01,1.257339166666666397e-01
1.625000000000000056e-01,3.465885833333333475e-03,7.637005000000000043e-01,2.101029166666666670e-01,1.375035000000000007e-01
1.750000000000000167e-01,1.701610008333333257e-01,7.883970833333334705e-01,1.974528333333333274e-01,1.495265000000000344e-01
1.875000000000000000e-01,2.536553775000000011e-01,7.968246666666667366e-01,1.833118333333333405e-01,1.645803333333333285e-01
2.000000000000000111e-01,3.372994241666666393e-01,8.080417500000000031e-01,1.691510833333333130e-01,1.791531666666666689e-01
