T,k,N,epsilon,z,conversion,conversion_sd,m_psi,m_psi_sd,rho_paper
4.000000000000000222e-01,1.000000000000000000e+01,8.000000000000000000e+02,2.999999999999999889e-01,0.000000000000000000e+00,8.748349881249999349e-01,3.306142755979726844e-01,9.997105000000000574e-01,2.035227260037572009e-04,1.601189750000000080e-04
4.000000000000000222e-01,1.000000000000000000e+01,8.000000000000000000e+02,2.999999999999999889e-01,2.500000000000000139e-02,2.502825196387499784e-01,4.326809154763359699e-01,9.713262499999999466e-01,1.633107932555285038e-02,4.874823094812499868e-01
4.000000000000000222e-01,1.000000000000000000e+01,8.000000000000000000e+02,2.999999999999999889e-01,5.000000000000000278e-02,1.249806131074999993e-01,3.305686307576411465e-01,9.349556249999999569e-01,2.435999526343088015e-02,8.311414286249999561e-01
4.000000000000000222e-01,1.000000000000000000e+01,8.000000000000000000e+02,2.999999999999999889e-01,7.500000000000001110e-02,1.433396500000000092e-04,1.251734540307169292e-04,8.894100000000000339e-01,3.000524954070529250e-04,9.246919999999999584e-01
4.000000000000000222e-01,1.000000000000000000e+01,8.000000000000000000e+02,2.999999999999999889e-01,1.000000000000000056e-01,6.311177874999999386e-04,7.441066470017696725e-04,8.533357500000000595e-01,9.468979287653066712e-04,8.992626249999999821e-01
4.000000000000000222e-01,1.000000000000000000e+01,8.000000000000000000e+02,2.999999999999999889e-01,1.250000000000000000e-01,1.152720999999999781e-03,9.639812779306194219e-04,8.180157500000000415e-01,1.291783819955959157e-03,8.738159999999999261e-01
4.000000000000000222e-01,1.000000000000000000e+01,8.000000000000000000e+02,2.999999999999999889e-01,1.500000000000000222e-01,1.994746749999999971e-03,1.308043288399962385e-03,7.832756250000000309e-01,1.602709107846771565e-03,8.481361250000000185e-01
4.000000000000000222e-01,1.000000000000000000e+01,8.000000000000000000e+02,2.999999999999999889e-01,1.750000000000000167e-01,1.282670025000000047e-01,3.294609104191154048e-01,7.800424999999999720e-01,8.311461875476539030e-02,7.190259702374999229e-01
4.000000000000000222e-01,1.000000000000000000e+01,8.000000000000000000e+02,2.999999999999999889e-01,2.000000000000000111e-01,2.535602337500000303e-01,4.308032633168183412e-01,7.869734999999999925e-01,1.228091061200267814e-01,5.970459820999999279e-01
4.000000000000000222e-01,1.000000000000000000e+01,8.000000000000000000e+02,9.000000000000000222e-01,0.000000000000000000e+00,3.332954999999999668e-01,4.695862540577677973e-04,1.319800749999999918e-03,3.383795225910360719e-04,3.332282500000000036e-01
4.000000000000000222e-01,1.000000000000000000e+01,8.000000000000000000e+02,9.000000000000000222e-01,2.500000000000000139e-02,3.198492499999999739e-01,1.515578086902811617e-03,1.981760000000000119e-02,1.124809737244481661e-03,3.425177499999999542e-01
