z,order_random_mpsi,order_random_conversion,order_hub_mpsi,order_hub_conversion,cycle_random_mpsi,cycle_random_conversion,cycle_hub_mpsi,cycle_hub_conversion
0.000000000000000000e+00,9.974284666666666244e-01,7.323075012373332360e-01,9.974284666666666244e-01,7.323075012373332360e-01,2.325859333333333157e-03,3.331580666666666413e-01,2.325859333333333157e-03,3.331580666666666413e-01
6.666666666666667095e-03,9.922214000000001421e-01,4.662928733666666381e-01,9.893094666666666370e-01,1.999417182666666515e-01,5.272538600000000429e-03,3.302464666666666826e-01,6.533364666666666154e-02,3.010331333333333137e-01
1.333333333333333419e-02,9.827220666666666160e-01,3.338593234133334087e-01,9.745030000000002302e-01,6.891655600000000381e-02,1.037222933333333333e-02,3.266049999999999787e-01,1.237884000000000068e-01,2.691872666666667024e-01
2.000000000000000042e-02,9.766797999999998758e-01,3.335549500999999695e-01,9.623705999999998539e-01,7.122235600000000055e-02,1.636037333333333066e-02,3.237140666666666333e-01,1.666674666666666527e-01,2.463102000000000069e-01
2.666666666666666838e-02,9.674068666666666427e-01,2.673799920400000141e-01,9.521570666666666627e-01,1.407039686666666789e-01,2.036841333333333157e-02,3.199582000000000814e-01,2.088538000000000061e-01,2.236909999999999732e-01
3.333333333333333287e-02,9.517883333333332363e-01,1.349614458000000239e-01,9.317042666666668360e-01,7.952919466666667769e-02,2.566003999999999854e-02,3.163801333333333132e-01,2.588661333333333037e-01,1.975719999999999976e-01
4.000000000000000083e-02,9.414879999999999916e-01,1.367712619533333063e-01,9.168757333333333870e-01,8.417171333333332839e-02,3.053505999999999929e-02,3.121923333333332939e-01,3.005083333333332662e-01,1.766420000000000212e-01
4.666666666666666879e-02,9.310635333333331376e-01,6.850044919333335425e-02,9.285913333333334352e-01,3.492218133333333530e-01,3.531274666666665840e-02,3.084337999999999247e-01,3.440895333333333084e-01,1.555554666666666697e-01
5.333333333333333676e-02,9.154993999999999632e-01,1.911470493333333135e-03,9.129163333333333297e-01,3.556534533333332027e-01,4.120300000000000351e-02,3.027938666666666889e-01,3.981589999999999296e-01,1.302596666666666902e-01
6.000000000000000472e-02,9.142025999999998653e-01,6.695940153333333755e-02,9.492829333333331343e-01,6.791888399999999049e-01,4.878368666666666603e-02,2.980889999999999929e-01,4.396189999999999265e-01,1.120386200000000054e-01
6.666666666666666574e-02,9.056477999999997808e-01,6.708801206666664685e-02,9.534945333333334494e-01,7.454184666666666681e-01,5.275864666666667258e-02,2.947414000000000422e-01,4.875578666666666172e-01,9.262282666666668551e-02
7.333333333333333370e-02,8.880137333333333327e-01,7.947211333333332756e-04,9.717787333333334221e-01,8.735839933333333640e-01,6.019164000000000458e-02,2.883775333333333801e-01,5.408957333333332951e-01,7.269155333333333913e-02
8.000000000000000167e-02,8.788295333333333570e-01,9.802450666666665761e-04,9.678169333333332958e-01,8.759415866666666606e-01,6.427418000000000020e-02,2.840411999999999937e-01,5.881178666666665444e-01,5.694107333333332799e-02
8.666666666666666963e-02,8.697603333333333575e-01,1.114281533333333395e-03,9.973897999999999930e-01,9.980949333333332119e-01,6.994814666666666902e-02,2.798858666666667050e-01,6.321375333333333346e-01,4.430460666666666270e-02
9.333333333333333759e-02,8.587492666666667329e-01,1.413464333333333068e-03,9.974293999999999105e-01,9.981080666666666268e-01,7.586411333333334395e-02,2.737140666666666444e-01,6.835921999999999832e-01,3.137891999999999765e-02
1.000000000000000056e-01,8.593890666666668121e-01,6.822520906666663942e-02,9.974276000000000808e-01,9.980936666666668788e-01,8.087610000000000632e-02,2.690351333333333428e-01,7.167969333333333859e-01,2.436630000000000046e-02
