z,order_rho_rock,order_rho_paper,order_rho_scissors,order_mpsi,cycle_rho_rock,cycle_rho_paper,cycle_rho_scissors,cycle_mpsi
0.000000000000000000e+00,5.830386550166666293e-01,8.399110799166668861e-02,3.329704722091666458e-01,9.979883333333333661e-01,3.330985000000000196e-01,3.334210833333333124e-01,3.334801666666666331e-01,1.163328583333333392e-03
6.666666666666667095e-03,4.177504408333332919e-01,8.925513916666666381e-02,4.929944126674999372e-01,9.832566666666666677e-01,3.308439999999999714e-01,3.363028333333333841e-01,3.328531666666666999e-01,5.063445833333332646e-03
1.333333333333333419e-02,4.992267833333333127e-01,2.577728916666666148e-01,2.430003327916666900e-01,9.712099999999997957e-01,3.281800833333333722e-01,3.402855000000000185e-01,3.315344166666666648e-01,1.092296333333333223e-02
2.000000000000000042e-02,4.195122499999999754e-01,2.611873416666666836e-01,3.193004486833333488e-01,9.557914166666666711e-01,3.262463333333333604e-01,3.419871666666666754e-01,3.317666666666666542e-01,1.402639166666666722e-02
2.666666666666666838e-02,4.206509083333333510e-01,1.076904083333333206e-01,4.716587658333333266e-01,9.339977499999999599e-01,3.234923333333333262e-01,3.456782499999999647e-01,3.308294166666667091e-01,1.971107500000000151e-02
3.333333333333333287e-02,1.919903916666666488e-01,1.125330499999999817e-01,6.954767063000000249e-01,9.038255833333334044e-01,3.210173333333333212e-01,3.490729166666666217e-01,3.299099166666666361e-01,2.510153333333333195e-02
4.000000000000000083e-02,1.197104416666666532e-01,4.236455416666666807e-01,4.566440709166665890e-01,9.029858333333332654e-01,3.193209166666666210e-01,3.524179166666666085e-01,3.282612500000000044e-01,2.989070833333333510e-02
4.666666666666666879e-02,2.756416249999999457e-01,1.998854083333333476e-01,5.244730201833333050e-01,8.791897499999999921e-01,3.173908333333333442e-01,3.549701666666666977e-01,3.276390000000000136e-01,3.380547500000000150e-02
5.333333333333333676e-02,6.046736666666666787e-02,4.996946583333333192e-01,4.398378839999999568e-01,8.680670833333333780e-01,3.148322499999999802e-01,3.586631666666666440e-01,3.265044999999999753e-01,3.945521666666666066e-02
6.000000000000000472e-02,1.404139083333333093e-01,4.276711166666666286e-01,4.319148691666666040e-01,8.499515833333332049e-01,3.131005833333332933e-01,3.615577500000000111e-01,3.253416666666666957e-01,4.382800833333333479e-02
6.666666666666666574e-02,7.103184166666667854e-02,7.161817000000000322e-01,2.127866189166666422e-01,8.681356666666664168e-01,3.105718333333333803e-01,3.663483333333333314e-01,3.230796666666666539e-01,5.080158333333333748e-02
7.333333333333333370e-02,7.833818333333332495e-02,7.832426749999998883e-01,1.384191784166666772e-01,8.642480833333331391e-01,3.084524166666666178e-01,3.698224166666666535e-01,3.217251666666666732e-01,5.604017499999999763e-02
8.000000000000000167e-02,1.500707333333333449e-01,7.817211583333333325e-01,6.820802024999998714e-02,8.628754999999999065e-01,3.067268333333333374e-01,3.723305833333332981e-01,3.209425833333333089e-01,5.990049166666665953e-02
8.666666666666666963e-02,8.688284166666666863e-02,9.120730833333333676e-01,1.044047333333333145e-03,8.712869166666666887e-01,3.050863333333332927e-01,3.757684999999999498e-01,3.191449999999999565e-01,6.500009999999999122e-02
9.333333333333333759e-02,9.454365833333334967e-02,9.044265833333332560e-01,1.029662666666666731e-03,8.604598333333332016e-01,3.027012499999999773e-01,3.790655000000000552e-01,3.182331666666666226e-01,7.014333333333332143e-02
1.000000000000000056e-01,1.009647500000000059e-01,8.980153333333333876e-01,1.020139583333333228e-03,8.514339166666665681e-01,3.006255833333333349e-01,3.834714999999999652e-01,3.159028333333332994e-01,7.651191666666666558e-02
